review_id,user_rating,review_text
1,80,"Those looking for a complex, funny and touching family will be more than rewarded for seeking this out."
2,80,"Ultimately, it’s all about balance, a yin and yang of roots and identities, humour and pathos that comes together into a satisfying, bittersweet wedding banquet of a movie."
3,80,Awkwafina and Zhao shine in a deft comedy-drama with a higher US per-screen take than Avengers: Endgame.
4,80,"Both a vehicle for Awkwafina’s formidable talents and an incredibly charming ensemble piece. If there’s any justice, it’ll be remembered when it comes to award-scattering season."
5,75,"What Wang gives us is an engagingly sentimental story with warmth, compassion and wit, peopled by relatives who, for all their cultural differences, are universal and yet enviable in their devotion to “the good lie” and the quality of life they see as worth protecting with it."
6,95,The cultural subtleties Wang inserts purposefully elevate The Farewell to have not only emotional impact but also revelatory social significance.
7,90,"Its universality, if you want to call it that, can only be so headily conjured because The Farewell is about exactly what it’s about: this family and their city, their culture, and their complicated bonds. That’s where the film’s beautiful, affecting honesty is sourced: in its million grains of truth, generously offered up. What an honor it is that Wang has invited us in."
8,88,"It’s probably strange to call a movie about illness and death a “feel good experience,” but Wang has pitched the film perfectly in this regard."
9,83,"The Farewell isn’t tour de force filmmaking. It doesn’t have to be. In telling her own story, or something close to it, Wang has managed to stand far enough back to see the crazy wonderful way in which a family dynamic — full of strange and wonderful ideas about how to live life uplifts us — and has delivered a gentle little gem."
10,88,"Unlike ""Crazy Rich Asians,"" which had eyes for narrative substance but shamelessly flirted with the superficial, The Farewell is a more substantive, engrossing and ultimately deeper work about the bonds that hold and strengthen us."
11,100,"The Farewell pays delightful, insightful homage to the facades and pretenses nearly everyone adopts in the name of compassion."
12,100,This is a viewing experience to be treasured. It is one of the very best films of 2019.
13,100,"""The Farewell"" is so unexpectedly and deliciously funny that watching it feels like a tonic — an immersion in love and art."
14,80,It's clear that Wang pours her soul into this movie to make the audience see what she sees.
15,88,"Like her heroine, Wang straddles the fence and argues from either side of it; like her, the movie is profoundly Chinese-American, speaking to both audiences and able to be enjoyed by both."
16,100,"The Farewell has a special feeling about it. It’s full of truth and emotion, and lacking in sentimentality. It has an eye for absurdity and for the telling detail, and it marks Lulu Wang as a director with the rare but essential ability to make you care about what she cares about. It will go down as one of the standout movies of 2019."
17,100,"Sometimes, the movie argues, it’s the things we don’t say that prove how much we care. Billi’s path to acceptance of this makes The Farewell one of the most heartfelt homecoming films in years."
18,70,"The movie is compact, coolly heartwarming, and gratifyingly uncute. Be warned, though, it also leaves you starving."
19,88,"Crucially, Wang and company found all the right actors to populate a semi-autobiographical tale of familial deception."
20,100,"Wang, along with her stellar cast, manages to deftly weave droll, observational family comedy with deeply resonant examinations of the role of family and culture in our lives. It’s naturalistic without feeling downbeat, farcical without being goofy, and treats its cultural signposts with a sensitivity and honesty few filmmakers can achieve."
21,88,"The film taps into universal truths about the passage of time, the inevitability of loss, and how we prepare one another for it."
22,85,"A small, melancholy movie that explores cultural differences and dealing with death in an utterly charming, understated manner."
23,75,"The Farewell resists any temptation to be a wacky, extended family comedy and instead stays true to the sadness of its central premise."
24,90,"In The Farewell, Wang builds a funny, touching and vital film about what makes a family in any culture. It’s simply stunning."
25,70,"Its affection for its characters feels protective; the film is reluctant to spill any secrets or cause any embarrassment. There is admirable kindness and impressive loyalty in this approach, but it also puts a bit of a damper on the party."
