review_id,user_rating,review_text
1,75,"There's almost too much there, but the three-hour-plus film permits the kind of detailing that not only brings the storytelling to life, but sometimes persuades us we're breathing to its rhythms."
2,50,"Its view of spiritual healing is closer to Spielberg fantasy than religious insight.  Still, its good acting and good intentions will be enough to please many viewers."
3,70,"A film with a counterproductive tendency to take its time...but unassumingly strong, moving performances and Darabont's durable storytelling make it a trip worth taking just the same."
4,63,Surely a life sentence goes by quicker.
5,75,"An often pedestrian film, one that never inflates to the epic grandeur to which it aspires or transfers its own emotional trajectory off the screen and into the viewer."
6,75,"Excessive, but I, like Mr. Jingles, can't resist the Christmas-season cheese."
7,80,"Darabont follows King's book fairly closely, allowing the audience to steep itself in the setting and characters slowly, like reading a good novel."
8,50,Simply a case of severe overreaching and the illusion that an overstuffed movie is an epic movie.
9,75,"A very engrossing movie, the kind that gives shameless manipulation a good name."
10,100,"So moving, so memorable, so magically produced, it's going to delight millions of movie fans and sweep the Oscars."
11,60,"Modest, on-the-money performances, which look effortless because they're so meticulously thought out, make the hours fly by."
12,40,Irritatingly repetitious and piled high with long-foreseen conclusions.
13,70,"From its deceptively easygoing beginning to the heart-wrenching finale, The Green Mile keeps you wonderfully high above the cynical ground."
14,40,Moves with the suffocating deliberateness of a river of molasses.
15,60,"A loud and ghastly movie to sit through and not short on gratuitous hideousness, but Darabont has also done his best to baste it with humanity and sweetness."
16,88,"As Darabont directs it, it tells a story with beginning, middle, end, vivid characters, humor, outrage and emotional release.  Dickensian."
17,50,"At the core, though, one finds a slacky, sappy film.  The human mystery that breathed so easily in ""Shawshank"" is often forced here."
18,90,"Above all a cracking good yarn that earns its laughter, its wonder and its tears."
19,50,"A shameless ""Shawshank"" redux."
20,75,Has a simple but exceptionally powerful and uplifting emotional lure.
21,50,Superficially respectful but ultimately cruel.
22,60,"A fascinating tragedy, easy to underrate."
23,50,Three hours of overstatement and schmaltz.
24,38,"With a grating combination of naivete and arrogance, The Green Mile consistently overplays its melodramatic material, including a portrait of a black man that is as breathtakingly offensive as it is earnest."
25,75,A richly textured thriller.
26,78,"A touching (and at times horrific) -- albeit overlong -- Christ allegory, that scores not so much on the strength of its convictions as it does on the truly remarkable performances it elicits from the cast."
27,60,"I still feel pushed around by Darabont's mysticism, and his overbearing sense of grandness; a little bit of the Mile goes a long way."
28,50,"While writer-director Frank Darabont often fails to make King's story plausible, that's no fault of the actors.  The performances are the movie's strong suit."
29,30,"A lumbering, self-important three-hour melodrama that defies credibility at every turn."
30,75,"Well acted by an ensemble that leans toward equality for all, Mile carries its long running time extremely well."
31,60,"But just watch Hanks, with the effortless grace of a Jimmy Stewart, turn the loony into something sweetly logical.  Now that is magic."
32,88,A reminder of just how good Hollywood storytelling can be.
33,70,"An intermittently powerful and meticulously crafted drama that falls short of its full potential due to considerable over-length and some shopworn, simplistic notions at its center."
34,60,"Much of the three-hour movie takes place in the prison, but the resonant characterization, expansive plotting, and judicious use of exterior locations and flashbacks remove any sense of claustrophobia or sluggishness."
35,75,"On many levels, it hits its marks -- but it still misses the impact of some shorter, less-ambitious movies that play with our emotions more deftly or deeply, walk their miles, deadly or not, with a lighter, faster, more confident tread."
36,65,This jailhouse jam is quite a haul.
