review_id,user_rating,review_text
1,70,"An accomplished, effective, grisly, and exceptionally sick slasher film that I can't with any conscience recommend, because the purposes to which it places its considerable ingenuity are ultimately rather foul."
2,88,It has been a good long while since I have felt the presence of Evil so manifestly demonstrated as in the first appearance of Anthony Hopkins in The Silence of the Lambs.
3,70,"Demme's pacing is tight throughout, marred only by some low-angle close-ups of the cannibal that are right out of old Vincent Price thrillers. [Feb 18, 1991]"
4,100,A mesmerizing thriller that will grip audiences from first scene to last.
5,50,"Billed as one of the most frightening, depraved films ever made. Would that it were so. Instead, this is a case of much ado about nothing. [15 February 1991, Friday, p.C]"
6,90,"Hopkins plays the cannibalistic doctor with a quiet, controlled erudition, lacing his performance with moments of black humor. His Lecter is a sort of satanic Sherlock Holmes whose spasms of violence are all the more terrifying because they erupt from beneath such an intelligent and refined mask."
7,100,"The interplay between Starling and Lector as they share an indefinable, dark understanding gives the film its unforgettable and unsettling power. [14 February 1991, Daily Notebook, p.E1]"
8,100,"The superbly crafted suspense thriller&#133;slams you like a sudden blast of bone-chilling, pulse-pounding terror."
9,100,"A movie with this kind of haunting power comes along only once every decade or so. [20 February 1991, Life, p.11D]"
10,90,"A smart, restrained entertainment, it doesn't splash around in blood and hysteria. It doesn't have to."
11,89,"At long, long last: the real thing."
12,97,"Though the film's subject matter is grisly, the electricity between Foster and Hopkins during their prison t&#234;te-&#224;-t&#234;tes could power every maximum-security prison in this country."
13,100,"Hopkins' insinuating performance puts him right up there with the screen's great bogymen. [13 February 1991, Calendar, p.F-1}"
14,88,"Chilling and creepy, and there's no denying that the most celebrated aspect of the film -- the Clarice/Hannibal connection -- could not have been accomplished with greater skill."
15,90,"All sorts of macabre things have gone on, and are still going on just offscreen, in Jonahan Demme's swift, witty new suspence thriller.[14 February 1991]"
16,50,The plot is squeezed dry in this bloody Valentine from Hollywood and becomes annoyingly predictable. Thriller stumbles on its own success
17,100,"Delicious with foreboding, a masterly suspense thriller that toys with our anticipation like a well-fed cat."
18,100,"FBI agent Clarice Starling (Jodie Foster), brainiac cannibal Hannibal Lecter (Anthony Hopkins) and tackle-tucking serial killer Jame Gumb (Ted Levine) make for one of cinema’s great ménages à trois."
19,100,"Under Jonathan Demme's masterful cinematic surgery, we get into Lecter's twisted skull and, through this outrageous descent, we come to see this sinister in the everyday."
20,88,"For me, the distinguishing factor is the sense of humanity director Jonathan Demme brings to this inhumane material."
