review_id,user_rating,review_text
1,88,"Dense, ironic and thoroughly engrossing caper melodrama."
2,85,"Byrne is a stand-up poet the way some actors are stand-up comics. His innate depth prompts The Usual Suspects to transcend its own cleverness--and this is the movie's smartest, least predictable surprise."
3,38,"To the degree that you will want to see this movie, it will be because of the surprise, and so I will say no more, except to say that the ""solution,"" when it comes, solves little - unless there is really little to solve, which is also a possibility."
4,50,Self-consciously bleak.
5,100,"The Usual Suspects is an ironic, bang-up thriller about the wages of crime. A terrific cast of exciting actors socks over this absorbingly complicated yarn that's been spun in a seductively slick fashion by director Bryan Singer."
6,80,"This thriller is like a game of life-and-death chess, with quick double-crosses and wild gambits."
7,80,I liked this film better the second time around.
8,75,"Dense with plot intricacies, thick with atmosphere, and packed with showy roles for a hip ensemble."
9,88,"The Usual Suspects is an accomplished synthesis of noir elements and, as such, is an entertaining entry to the genre."
10,90,"This one's done right. Here's an intelligent movie with no special effects. You have to pay close attention, to listen hard to its cross-fires of dialogue."
11,80,"The Usual Suspects is a maze that moviegoers will be happy to get lost in, a criminal roller coaster with twists so unsettling no choice exists but to hold on and go along for the ride."
12,80,"For my money, The Usual Suspects was the pulp fiction of the '90s."
13,70,Something quite different: A movie that's smarter than you are.
14,88,"The Usual Suspects filled me with a highly unusual urge - to be a true ""reviewer,"" to rewind the projector and figure out this humdinger once and for all."
15,60,"Screenwriter Christopher McQuarrie's tough-guy dialogue and Bryan Singer's crisp direction give the ensemble cast every opportunity to shine, and they do."
16,50,"Nothing more than an over-designed lobster pot. After following the beckoning twists and turns, you're left trapped and more than a little disappointed for getting in so deep."
17,100,"This movie has everything but Humphrey Bogart, and I'm sure he's sorry he was unavailable."
18,80,"Goes straight to cult status without quite touching one important base: the audience's emotions.  This movie finally isn't anything move than an intricate feat of gamesmanship, but it's still quite something to see."
19,70,Snappy heist film that keeps changing the rules of a mystery so that one is never sure whose hands are at the controls.
20,89,"A movie with style to burn, and, initially, that is this crime drama's most mesmerizing aspect."
21,100,"A near-classic blend of mystery, personality, humor and terror, laced with one stunning shock after another. [18 August 1995, Friday, p.C]"
22,63,"Look out for everything, and listen, too, because Suspects is one of the most densely plotted mysteries in memory."
