review_id,user_rating,review_text
1,80,Any meaningful perspective on the greedfest of the period is obscured by the gleefulness of the depiction.
2,100,This telling of the tale possesses enormous cinematic energy and a killer supporting cast full of hilarious delights.
3,50,"By buying the pitch that its central character’s escapades were the stuff of mesmerizing drama or comedy, Scorsese, Winter and DiCaprio reveal themselves as dupes — the latest in a long line of clever folks swindled by Jordan Belfort."
4,88,"Martin Scorsese's The Wolf of Wall Street is abashed and shameless, exciting and exhausting, disgusting and illuminating; it's one of the most entertaining films ever made about loathsome men."
5,100,It is the best and most enjoyable American film to be released this year.
6,40,"Epic in size but claustrophobically narrow in scope, The Wolf of Wall Street maintains a near-exclusive focus on the greed and self-indulgence of its proudly rapacious hero."
7,88,The most exhilarating film of the year is also the most exhausting.
8,100,"What keeps the energy percolating is DiCaprio’s performance, in the loosest and most charismatic turn of his career."
9,88,"One of the funniest yet most depressing movies in Martin Scorsese’s long career — a celebration and evisceration of male savagery, financial division. It’s like “GoodFellas,” only (slightly) more legal, which is very much the point."
10,50,The film is almost three hours long and precious little of it feels new – not from Scorsese or from anybody else.
11,91,"There’s a cracked logic, a genius almost, to the film’s amped-up irreverence. Maybe laughter isn’t just the best medicine, but the only sensible response to this much brazen amorality."
12,100,"A very fast three hours, Wolf is a fascinating, revolting, outlandish, uproarious, exhilarating and exhausting master work on immorality."
13,90,"Martin Scorsese’s The Wolf of Wall Street is absurd, ridiculous, over the top, overindulgent, overlong, overstuffed, over-everythinged. And that is precisely the point."
14,63,"The Wolf of Wall Street remains one-note even at is most outré, an episodic portrait of rapaciousness in which decadence escalates into debauchery escalates into depravity — but, miraculously, not death."
15,75,"For all of its carnal frivolity, The Wolf of Wall Street lacks passion and purpose, qualities Scorsese at his best has in abundance."
16,100,"The Wolf of Wall Street joins ""After Hours"" as the most openly comedic films Scorsese has made."
17,25,"Here’s something I never expected to say, something I doubt I’d have believed if someone else had said it to me: Martin Scorsese can make a three-hour movie without one fresh perspective or compelling character from end to end. The proof, for three agonizing hours, can be found in The Wolf of Wall Street."
18,50,"The movie's benumbed by its own parade of bad behavior. Like some of Scorsese's other second-tier works — ""Casino,"" ""Bringing Out the Dead"" — the gulf between virtuoso technical facility and impoverished material cannot be bridged. It's diverting, sort of, to see DiCaprio doing lines off a stripper's posterior, but after the 90th time it's like, enough already with heinous capitalistic extremes."
19,80,"This movie may tire you out with its hammering, swaggering excess, but it is never less than wide-awake."
20,83,"The feverishly paced film is hell-bent on making the audience feel like they just snorted a Belushian mountain of blow. You can practically feel your teeth grinding to dust. As with any high, though, it also doesn't know when to stop."
21,100,"If it had been a drama, The Wolf of Wall Street might have been unwatchable: There’s simply too much of everything. But Scorsese and screenwriter Terence Winter (The Sopranos, Boardwalk Empire) hit on the genius idea to turn the story into a riotous comedy, one that keeps topping itself everytime you think it can’t possibly get crazier."
22,63,"Been there, done that. As thrilling a filmmaker as Martin Scorsese continues to be, and as wild a performance as Leonardo DiCaprio dishes up as its morally bankrupt master of the universe, The Wolf of Wall Street seems almost entirely unnecessary."
23,80,"A delirious, manic, push-the-limits comedy of gaudy amorality that tests the audience’s taste. But it’s a gamble that works, since you leave this adrenaline trip wasted, but invigorated."
24,88,"It's rambunctious and unruly, but mesmerizing."
25,60,"With all of its excess, Wolf of Wall Street might not rank up there with Scorsese's best, it sure has fun trying."
26,40,"A veritable orgy of immorality, each scene making the same point only more and more outrageously, the action edited with Scorsese's usual manic exuberance but to oh-so-monotonous effect."
27,91,"At a full three hours, the movie flirts with wearing out its welcome about two-thirds through, but recovers to end up an exhausting, operatic black comedy that leaves you wanting more."
28,75,Leonardo DiCaprio’s most charismatic performance ever anchors Martin Scorsese’s robust and raunchy lowlifes-of-high-finance comedy The Wolf of Wall Street.
29,88,"Scorsese tells the Wolf’s story almost strictly from the Wolf’s point of view. We never see his victims. It’s actually an effective technique, because the Wolf certainly never really saw his victims either — not as actual human beings who could be hurt by his financial hocus-pocus."
