id,user_rating,review_text
1,,This is a cornerstone film and required viewing experience for a multitude of reasons. Come and kiss the ring.
2,,"Stanley Kubrick has created a real mind-bender. ""2001"" is at once believable and astounding, intriguing -- if not boggling -- to the mind, dazzling -- if not bewildering -- to the eye, and wax-loosening to the ear."
3,,"Discussion will rage for months to come around 2001: A Space Odyssey, which, for size, cost, imaginative brilliance and perplexity, is light years ahead of any space film yet made."
4,,This film is as exciting as the discovery of a new dimension in life.
5,,"I'm not so sure many of us in the audience knew what Kubrick's enigmatic tableaux were all about, but I do know that few of us would ever look into the night sky again without a new sense of wonder about man and the universe."
6,,"While [Stanley Kubrick] dazzles, bewilders and overpowers the viewer with gadgetry and technology, he has utilized cinematic form in a distinctive non-verbal way. The experience of seeing ""2001"" is like being in a symphony, a poem or a sculpture."
7,,"It's a bad, bad sign when a movie director begins to think of himself a myth-maker, and this limp myth of a grand plan that justifies slaughter and ends with resurrection has been around before."
8,,"If there was any doubt that space travel will be the most spectacular of mankind's future, ""Space Odyssey"" is the definitive affirmation that every last coin spent on the space race will be worth it."
9,,"The stupendous accomplishment of the movie lies in the exceptional quality of its special effects. On the Cinerama screen, the episodes in space create thrills and involvement that I never thought possible."
10,,"The first loss in Kubrick's fantastic winning streak. A decided disappointment in every respect except the visual, ""Space Odyssey"" perhaps will convince the extraordinarily-talented director to leave the future to Dr. Carlson, and come back down to earth."
11,,"It may seem ponderously pretentious to assume that man will be up, up and away like that, but Kubrick's foreplay is enriching and extraordinarily perceptive, if nothing else. Indeed, he tells it like it possibly will be -- with authority."
12,,With space-travel it takes an exceptional film to stop me yawning. But then 2001: A Space Odyssey is an exceptional film.
13,,"Great blobs of brilliant color smear and splinter into each other, giving birth to seemingly endless varieties of new shapes and shades, in this flight on the wings of Stanley Kubrick's wild, wild, wildest imagination."
14,,"Notwithstanding the rather tiresome middle sections, 2001: A Space Odyssey is a sight for the eyes and a bolt to the cerebellum. The opening and the closing see to that."
15,,"After seeing 2001: A Space Odyssey a second time, I'm convinced it is a masterwork. Take it from one who mistrusts superlatives... this awesome film is light-years ahead of any science fiction you have ever seen."
16,,"It took four years to complete, £4 million to produce, and precisely two hours and 42 minutes to confirm that it is uncommonly painful not to laugh when you feel like it."
17,,"Kubrick becomes so involved with his science, so enamored of his effects, his use of color, his absorption with his tricks and dazzling flights of imagination, that he forgets about us."
18,,It is the photography which sets 2001: A Space Odyssey apart from any other movie ever made. The story may puzzle the mind... but be assured nothing in Cinerama or any other projection has ever presented such a wonder to the eye.
19,,Stanley Kubrick's 2001 is a space-age origin of species. It's an epic of evolution. Like Homer's Odyssey its primary function seems to be to give its audience a sense of their history.
20,,"Though this experience can hardly be considered either profound or -- for the science-fiction addict, I suspect -- particularly enlightening, it is interesting and often exciting."
21,,"To this viewer, the depiction of man's first expedition to Jupiter was an awe-inspiring trip, a mindstretching achievement in special effects and cinematography that captured the imagination as no motion picture has in memory."
22,,"One thing is certain. Whether you love it or hate it, whether you profess to understand it or admit to honest bafflement, you will not be indifferent to Kubrick's ""Space Odyssey."""
23,,The obvious meaning of Kubrick's work seems to have been to make monkeys of the viewers who paid (and will pay) money to see this long drawn-out film that seems in a perpetual state of frozen hibernation.
24,,Probably the quickest and most accurate way to describe 2001: A Space Odyssey is simply by saying that there's never been anything quite like it.
25,,"""Space Odyssey"" is, I think, a great film... The shape of Kubrick's movie leaves a genuine impression of a voyage from the known to the unknown."
26,,"The more we know about a person, the more we understand him the less we are inclined to dismiss him from our attention. The same holds true for big, ambitious movies. Stanley Kubrick's 2001: A Space Odyssey proves the point."
27,,"The photography is superb. But on the whole the film is disappointing... Dramatically, it is dull."
28,,It is one of the best motion pictures I have ever seen.
29,,"Through a barrage of mind-bending imagery, through a shocking short-circuit of literalism and logic, ""Space Odyssey"" somehow achieves the sensory equivalent of religious awe. It is a triumph of the art's mastery over reason and known experience."
30,,"The fact that it cannot, beyond a certain point, be verbalized is proof not that it's a mess but that it is so perfectly, sensuously cinematic that its experience is not easily translated into a linear medium of communication."
31,,"Somewhere among the millions of pounds and hard-spent effort a story to engage the likes of you and me has been lost, or forgotten."
32,,"This is one hell of a movie. Stanley Kubrick made it, and should be grateful that he could make it in Cinerama, which adds immeasurably to its impact."
33,,"If, to reach greatness on film, a movie must make you think, move you, involve you and transport you realistically into its circumstance then ""2001"" might just be the finest achievement in the history of motion pictures."
34,,"""2001"" is like reading a Buck Rogers comic strip and discovering that the last frame is a paragraph from Finnegans Wake."
35,,"From a purely technical standpoint, the expense and the delay seem worth it. Never have space travel and the magnificence of space been portrayed with such convincing detail as in this Cinerama film. But in other respects, ""2001"" is a maddening riddle."
36,,"2001: A Space Odyssey is not just a film. It is an experience; one that is successfully informative, fantastically and beautifully eye-holding, a bit of a bore and, finally, a disturbing enigma."
37,,"This is hardly a film to merit any serious cogitation, rather to be enjoyed for its sci-fi fun and games."
38,,"As exasperating as it may be in terms of dramatic conflict, as a display of sheer cinematic craftsmanship it is a knockout."
39,,The picture itself is a constant source of wonder. Technically it is one of the most impressive motion pictures I have seen in a long time. The special effects are incredible -- they have to be seen to be believed.
40,,It is beautiful. Arguing about what it means could cause fist fights. And it is very much worth seeing.
41,,"The film is a work of splendid imagination always, but it is less often a work of delight, owing in part to its tediously slow pace when expedition would seem to be called for."
42,,"It is classified as science-fiction, but it surpasses that category with allegory, message, suspense, adventure and religion."
43,,"The film gives a graphic impression, as no predecessor has done, of the relative magnitude of the craft and the limitless universe itself."
44,,"I found it to be dazzling to the eye, plush well worth the wait. It is, in my opinion, a milestone movie, superbly and amazingly filmed, the consummate sci-fi film."
45,,"Devoid of the quick-witted panache of [Stanley Kubrick's] last and takes more than 100 minutes to establish its two introductory facts... Luckily, the film's second half offers fewer decibels and more action. It is, in fact, a pulverising improvement."
46,,"It is a difficult movie to review -- for pete's sake, it's a difficult movie to view in some ways! -- but I'm convinced that Kubrick's inventive work is a cinematic landmark. Movies enter a new dimension with ""Space Odyssey."""
47,,"""2001"" takes our vision beyond the overwhelming problems of now. Kubrick, as is his want, takes us visually and emotionally and intellectually farther than even his genius might have promised."
48,5/5,"This is an epic masterpiece that dares its audience to challenge their own perception of mortality; all the while straddling them for a cosmic, vortex-bound interstellar ride that’s equally breathtaking and terrifying."
49,5/5,"It stands now as a work of pure, sensory cinema: graceful, inquisitive, technologically groundbreaking, endlessly rewatchable -- a flawless film."
50,4.5/5,"Instead, the most impressive achievement of all seems to be the fact that it made its audience think and debate the ultimate meaning behind the film for all these years."
