id,user_rating,review_text
1,3.5/4,"Is it the best superhero movie ever made? In the words of Balki Bartokomous, ""Don't be ridiculous. Nevertheless, this ranks among the upper echelons of the MCU."
2,3/5,"...Avengers Engame offers no tension, no clear stakes, and endless noise, bluster and back-slapping. On the plus side, there’s an extraordinary group of talents gathered here and  a welcome leavening of humour that makes all the series entries watchable."
3,7.5/10,"After an impatient wait after the “open” ending in Avengers: Infinity War, its sequel Avengers: Endgame has arrived, the outcome of the universal conflict posed by the extraterrestrial villain Thanos."
4,4/5,"Who are the Avengers if they don't need to ""avenge"" anymore? Avengers: Endgame shows us our favourite heroes like we've never seen them before."
5,A+,"Avengers: Endgame surpasses all expectations. One of the best comic-book films of all time, without a single doubt."
6,5/5,"Your level of enjoyment depends on how invested you are in the Marvel Cinematic Universe. If you've been with [the franchise] since 2008, ""Endgame"" is an unparalleled experience – unlike anything that has come before and may ever come again."
7,9.5/10,Avengers: Endgame is not just a culmination of the last eleven years of the Marvel Studios cinematic saga but also a celebration of everything people have come to love about these characters.
8,4.5/5,"I’m not sure if I would call the great completion of the Marvel Cinematic Universe the best comic book film of all time. Still, it’s certainly the finest conclusion to a greater ideal Hollywood has ever put together."
9,4/5,"From the very beginning “Avengers: Endgame” feels like something special, something unique, something unlike anything we’ve seen before. And even in its missteps it never loses that sense of spectacle and grandeur."
10,3.5/4,Who could have anticipated that Marvel Studios and Disney would release a three-hour extravaganza whose exquisite character-focused scenes outshine the FX-driven action?
11,,"Eleven years of Universe building, and this is the crescendo. It really pays off, I've never seen anything quite like it."
12,4/4,"Avengers: Endgame broke me, put me back together, and decided to cut me again in one of the most impactful cinematic experiences of all time."
13,,"For me, it didn't fulfill the promise of Infinity War, but it did fulfill the promise of the previous twenty movies."
14,8/10,"I'm just grateful to have the privilege to watch this along with the rest of the world. It's not perfect, but it has been one hell of a ride."
15,,"Here's the other really neat thing about Endgame: it made me think of priorities in life and what or who is worth sacrificing for, especially loved ones..."
16,,The true superteam event releases marked something slightly different and spectacular...End Game over the original Guardians by a hair...
17,,This goes beyond the usual scale.
18,,A film that somehow manages to be as epic as fans hope and as dramatic as the MCU deserves.
19,,"Films don't come any huger than this: the closing chapter to an 11-year saga in the Marvel Cinematic Universe, told across some 22 movies. And by the end of its three-hour runtime, there will definitely be tears."
20,5/5,There really is very little that could be improved about Endgame. There's certainly no more that could be thrown at it.
21,,"So much of the art form is about storytelling, and bringing so many side stories and characters to a satisfying conclusion is tough, and the film blended a (rather) unpredictable plot with emotional character beats deftly..."
22,,"Avengers: Endgame is everything Marvel fans could want and more. It will be interesting to see how the MCU moves into the future after the events in the film, but woe be upon anyone who doubts their ability to adapt and succeed mightily."
23,,I found Avengers: Endgame wonderfully satisfying.
24,3/5,There are [Marvel] movies that have been just as entertaining and a lot smarter than this one.
25,3.5/5,"Feels like the end of the old cycle, the beginning of a reset. Old favourites gone, passing the mantle to others before they go. We even see a poster that reads, ""Where do we go, now that they're all gone?"""
26,A-,"The MCU is the ultimate long game, and Endgame feels like its glorious final lap."
27,5/5,"Terms like masterpiece and game-changer are often thrown around a bit hastily, but not on this occasion."
28,7/10,"The fight scenes, while chaotic and intermittently exhilarating, are unable to avoid repetition; such is the nature of invincible entities dueling other invincible entities."
29,,What The Russo Brothers did here is take high expectations and blow them out of the water with an emotionally thrilling finale. Get ready to be moved!
30,2.5/4.0,The only thing that I know for sure has ended with the Marvel Cinematic Universe is my patience.
31,4/5,"Endgame is nothing short of a deserved send-off to the Infinity Saga, stamping an impressive mark on the cultural psyche. It has been one hell of a ride."
32,9/10,"Part of the journey is the end, and this one is perfect for certain characters. An unprecedented movie in film history, and a very difficult feat to repeat. [Full review in Spanish]"
33,3/5,"Neither the best nor the worst of times in the franchise, it's a bit like a sugar rush. Endgame delivers both epics highs and a following crash that leaves you feeling oddly empty."
34,2.5/5,"It's that the movie itself is overblown and half-baked, and without the audience, it's something of a glorified in-joke."
35,5 / 5,"If Infinity War wanted to blow you away, Endgame wants to punch you in the gut and leave you a speechless, quivering wreck."
36,3.5/4,"The 22nd installment is a fittingly epic, three-hour finale that packs all of the fan service you could ever want, laced with somber tones and emotional payoffs that will cause even the genre's biggest detractors to shed a tear."
37,4/4,"It's one of the funniest movies of the 20-plus in the franchise, but it's also the one that made me the most emotional. But more than anything, it left me satisfied and thrilled that I kept watching them through the years."
38,4/5,"For fans of the most successful franchise in movie history, Avengers: Endgame delivers the world - and more."
39,4/5,"Epic and spectacular, an emotional rollercoaster that none of us will ever forget."
40,B+,Avengers: Endgame is the most 'superhero movie' superhero movie ever made.
41,,"The film is almost three hours long; long enough to tie up loose ends, as well as give foundation to a new generation of Avengers. When all is said and done, this was the hardest goodbye in the Marvel Universe."
42,,"A genuine, spectacular, and moving love letter from the Marvel family, the world of comics and the Russo brothers to modern pop culture. [Full review in Spanish]"
43,3.5/4,A good movie with a breathtaking third act for any comic book fan.
44,B+,"While there are a few ho-hum moments, there are equally stunning, stirring, triumphant ones where it's damn near impossible not to cheer."
45,,"Overall, Endgame was a satisfying high-stakes adventure that was at times even unpredictable."
46,,Avengers: Endgame is a masterfully triumphant epic. It's a superhero film on a scope and scale the likes of which we've never seen.
47,7/10,"It puts my heart racing like a locomotive in some of the most spectacular sequences I have seen in this cinematic universe that, apparently, closes a cycle to open a new one. [Full review in Spanish]"
48,9/10,"The whole thing is as sentimental as it is exhilarating, but any cheesiness feels well-earned."
49,,"All told, Endgame is a highly satisfying celebration of 10 years of the MCU, and a great bookend to the first three phases."
50,,It was exactly what it needed to be and nothing more.
