id,user_rating,review_text
1,10/10,"Like the grand, mountainous backdrop of Jack and Ennis's love, Ang Lee's film contains more than enough space for audiences of all kinds to find themselves."
2,3.5/4,"Behind its convenient (and infuriating) designation as ""the gay cowboy movie,"" this is as universal as any love story Hollywood has produced in recent times."
3,,"This message [of queerness] is so loud and clear in this film, but it's never really addressed."
4,,"Sad story, terrific movie."
5,4/4,"A careful reading of the film will stand up to modern criticisms. Crash may have won the Oscar, but Brokeback Mountain won an even greater award: history remembers it as the real winner. This is one of the Greatest Movies Ever Made."
6,,Brokeback ultimately transcends its representational imperfections with pure heart.
7,,"For all the film's moments of authentically aching passion, the greatest ache is the one that sits in the pit of your stomach as you realize that it's all gone."
8,,"Brokeback’s high emotion occasionally borders on the melodrama of classic Hollywood. There is plenty of aching nuance, but the film is, for the most part, generous and entirely legible in its pathology."
9,,"two decades later, it’s still a beautiful, deeply felt and emotionally resonant piece of cinema, and no matter how good you thought it was the first time, it’s even better than you remember it."
10,,"The work of a great maestro, Brokeback tugs at every heartstring, and leaves you awash in appreciation for its song."
11,A,"Simply put, you can't quit it."
12,4/5,"20 years on, Brokeback Mountain remains a milestone of queer cinema. There's an interesting discussion to be had about the casting of straight actors and the depiction of intimacy, but the film's score and tragic ending remain iconic"
13,,"It remains a rarely-surpassed high-watermark for both Ledger and Gyllenhaal, who were both nominated (it remains Gyllenhaal’s only nod), and who each capture something in their characters and something in themselves as actors that seems a tad elusive."
14,5/5,"Sure, there are happier gay films out now, ones that involve more queer talent both in front of and behind the camera, but here I am still, clinging onto this masterpiece like Ennis holding onto that damn jacket."
15,,"Above all, the performances of Jake Gyllenhall and Heath Ledger lift “Brokeback Mountain” above the ordinary study of male-male friendship and love—repressed, resisted, indulged, debated, and analyzed. It pays dividends in its haunting specificity."
16,,"Ledger and Gyllenhaal deserve nothing but praise for their brave, sensitive portrayals of troubled souls..."
17,,It’s plain to see that this movie is always going to be relevant in the gay community and there’s a good reason why. It’s unbelievably great.
18,,"As Ennis Del Mar and Jack Twist discover, a lot can happen during long nights on the range."
19,4/4,"Director Ang Lee, working from an adaptation of a short story from Annie Proulx, has created an epic motion picture about the power of love and the tragedy of separation. The chemistry between the stars is intense and tender."
20,7/10,"Though it runs marginally overlong, Ledger and Gyllenhaal’s performances transform what is essentially a straightforward, perhaps unfluctuating love story into something remarkable and memorable."
21,,"A moving drama that grapples honestly with the closet, homophobia, and forbidden love in surprisingly fresh ways."
22,4.5/5,"One of the most romantic films I've ever seen. A passionate film about love, truth and life. Full review in Spanish"
23,,"The world we live in today is still doing its damndest to twist the very definition of love out of our hands. This film is a slap in every one of their santimonious, ignorant faces."
24,,Brokeback Mountain serves as something of an antidote to the incessant homophobic harping...
25,,"It is challenging to find a movie that grabs you as hard as this does. The story lingers long after its woeful end, ultimately showing the power of such an amazing film, while also keeping and transferring the theme of longing to its audience."
26,,Heath Ledger gives an Oscar-worthy take on a man who already seems in mourning for a loss he will be late to grasp.
27,,"Ledger hits all the right notes as Ennis, delivering a quiet performance filled with heartache and sorrow."
28,4/4,"The passion created here...makes no restrictions on who can understand and appreciate it. This is as fine a love story as there is. [May 10, 2018]"
29,4/4,"Lee has crafted a film that flouts stereotypes and becomes one of the most sincere, most deeply felt love stories in years."
30,3/4,"What is remarkable about the film is how it doesn't politicise the homosexuality theme, transcends it to become the story of two people in doomed love. The two lead characters are wonderfully delineated."
31,,"The real achievement of Brokeback Mountain is not that it tells a universal love story that happens to have gay characters in it, but that it tells a distinctively gay story that happens to be so well told that any feeling person can be moved by it."
32,,An important and original romance that really and finally portrays the homosexual romance as two humans falling in love and never plays it for clichés...
33,,"Brokeback Mountain is in no rush. Its emotional impact builds slowly, its rhythms in tune with the countryside--the rugged grandeur of the mountains; the arid, bleak vistas of backwater Western towns."
34,A+,"Brokeback Mountain is ultimately about the paralysis of regret and how it fractures the lives of not just those afflicted by it, but everyone else around them."
35,,Lee can't tell the difference between criticizing oppression and turning out an oppressed work
36,4/5,"Arguably Ang Lee's best film, this swooning, achingly sad near-masterpiece offers a universal love story that lingers long in the mind."
37,4/5,"If you have the patience to sit through a slow-moving romance and you lack the vanity to be put off by explicit cowboy on cowboy relations, you'll greatly appreciate the light at the end of Brokeback Mountain, a work of art that's more than just a movie."
38,,"At times feels as ancient and familiar as any well-worn piece of American legend, even if its content could set John Wayne spinning in his grave."
39,8/10,"At its core, Brokeback Mountain is not a gay love story%u2013it is simply a love story."
40,A,"It has the simplicity and clarity of a fable, wedded to the gnarled and taciturn physical realism of the Western."
41,A,"A masterful telling of star crossed love, with all the complications of any affair. Neither gratuitous nor shying away from the hidden pasion, Lee crafts a sublte and quite beautful film."
42,A-,
43,,"Annie Proulx's beautiful, delicate short story...has been transformed into a beautiful, delicate movie under the masterly direction of Ang Lee."
44,4/5,"Just a well-made, well-acted melodrama that is quiet and reflective instead of big and bombastic."
45,3/4,Though presented as a story of thwarted love -- of ache and longing and regrets -- it's ultimately a story about the relationships that shape us -- for better and for worse.
46,3.5/5,"it could have been real campy, if it weren't so well-crafted as to be Oscar material"
47,,Film with much religious and mystical imagery.
48,3.5/4,"A gallery of worthy performances, crisp direction and a quietly graceful script make Brokeback Mountain something of a landmark in Hollywood's 2005 slate of movies."
49,3.5/4,A gorgeous meditation on the sorrow of finding everything you want and not knowing how to keep it.
50,5/5,"[A] powerful and moving film, a smart study of relationships that could but can't and never will be."
