id,user_rating,review_text
1,,"Burning still holds up to multiple viewings, because it’s not really about one particular mystery regarding a missing young woman. The film is dealing with a much bigger mystery…what is our purpose in life?"
2,4/5,"But no matter which way you choose to interpret the film, we’re left with a hauntingly engrossing experience that’s going to gnaw away at my psyche for weeks to come."
3,9/10,"... A captivating film that explores mysteries, class struggles, and fiery love triangles. [Full review in Spanish]"
4,4/4,"Perfectly calibrated as a piece dependent on nuanced performances and an exacting tone, Burning rewards those willing to invest and engage in all that Lee refuses to spell-out or show to his audience."
5,75/100,Episode 20: When Jeff Tried To Save The World / Creed II / The Ballad of Buster Scruggs / The World Is Yours / Burning
6,9/10,Characters and viewers are taken on a journey that both fascinates and unsettles.
7,,"Burning is a slow-burn thriller that is utterly captivating from beginning to end. It's economic emasculation that brings inevitable violence. It's Lee's script that shines: layered with hefty metaphors and symbolism, yet the film is surprisingly subtle."
8,3.5/4,Lee Chang-dong's potent drama sparks unconventional mysteries
9,4.5/5,"It unfolds like a poem in its esotericism, wearing the ambiguity on its sleeves that make for something almost entirely transfixing."
10,3.5/4,"It's an epic, eloquent, lyrical, stunningly lensed (by Hong Kyung-pyo) tragedy that will likely be one of the toughest films of 2018 to shed."
11,B-,"Whether deliberate or tedious, meditative or dull, depends on the eye of the beholder, and as thrilling and fantastic as certain elements are, other tested the bounds of patience."
12,,"The filmmaking is assured to the point where long takes go unnoticed, and the impeccable pace makes the 148-minute running time feel all too short[.]"
13,,"as often happens in the films of Lee, there comes a mysterious moment when the scattered threads of the plot begin to tie together, and Burning suddenly moves up to a higher level of intensity."
14,3.5/4,Lee Chang-dong delivers what may be cinema's most elliptical serial killer drama...
15,,Burning is so engrossing it makes you wish you didn't have to blink.
16,3/5,"Despite the uneven narrative, Burning is a visually striking slow-burner of a mystery with three intriguing performances."
17,,"Lee's screenplay balances the drama and intrigue beautifully, suggesting fully the dangerous volatility of the heart while never stooping to easy, sensationalistic tricks."
18,,Burning is a superior thriller with a double edge - a film that's about a doomed romantic obsession and also a social critique that lays bare the impotency of an outsider seeking to understand the opaque world of the mega rich.
19,,Lee is patient with the story. He illustrates the rather grim reality of how circumstance and people can define you and shape your perception of the world for better or worse.
20,4/5,"Lee Jongsu, a country boy drifting through life alone as a delivery man, is out of his depth from day one when he re-connects with the mercurial Haemi from his schooldays."
21,,"For Murakami's regular readers, the film will be a stimulating revelation; for movie lovers, an invitation to venture into the complex intellectual orbit of this great Japanese storyteller. [Full Review in Spanish]"
22,3.5/4,"A disorienting, bracing, wholly exhilarating experience, filled with an unnerving and often eerie sense of impending doom that can't be stopped."
23,,"Burning is an immersive game of ambiguities, uncertainty and absences, where we doubt everything, including what Lee Chang-dong projects on the screen. [Full Review in Spanish]"
24,,"It's not hard to see the disaffection of Lee's characters, caught up in a culture - not to mention a country - that is divided both in geography and in its societal soul."
25,,"The futility of life, romantic relationships, fears and fantasy come together. [Full review in Spanish]"
26,5/5,"A searing, cryptic, and grimly beautiful postmodern mystery about fleeting relationships in the 21st century."
27,4.5/5,Burning...refers to the resentment and the anger felt by the young and struggling towards the rich and overbearing. Revelations like these hover just beneath the surface of this beautifully directed mystery.
28,7/10,"...there's still an awful lot here to enjoy, from the expertly subdued playing to the location work and cinematography to a nasty yet elusive sense of humour."
29,,"Burning is a film about the seen and the unseen; a film of small details, some of them obvious plot devices, others so subtle they could be easily missed."
30,4.5/5,"Lee hypnotises with his story of a love triangle, crafting a movie that could be described as visual poetry."
31,4/5,"The subtext is pointedly political but always expressed through Lee's subtle cinematic intensity, with evocative views of murky interiors and landscapes that dissolve into dusk and darkness."
32,4/5,"This is the kind of film that all but demands a second viewing in order to appreciate the complex elegance of the design, assembled from details systematically calculated to lend themselves to more than one interpretation."
33,3.5/5,The flight path taken by this ingeniously involving psychological drama glides to such dizzying altitudes across its running time that it almost does not matter when it runs out of narrative runway upon landing.
34,4/5,"Mesmerising, threatening and beautiful ... You'll feel a strong sense of neo-noir at work, tugging against, or alongside, a neorealist examination of class divide. There's a lot going on, and the film takes its time, but it's exceptionally satisfying."
35,4/5,It is an ambiguous story but in terms of character building and suspense it sears itself into our minds and refuses to let go.
36,9/10,The enigma at Burning's core culminates with a Hitchcockian level of mystery
37,16.5/20,...an exercise in empathy that leads to many a cerebral treasure.
38,3.5,Patricia Higsmith could not have thought of a better ending.
39,,"A very good drama that pays off, leaving us to ponder on everything we'd seen long after the credits have ended."
40,9/10,A magnificent portrait of what weight obsession can have over a person's being. [Full Review in Spanish]
41,,"The film unravels, bit by bit like an ardent dream burning slowly inside the mind of the audience. [Full Review in Spanish]"
42,,"Burning turns into a frightening experience, almost like a Hitchcockian thriller. A true delight. [Full Review in Spanish]"
43,8/10,"Wherever you land on the film's meaning, the picture that finally comes into view is a difficult one to shake."
44,3/5,"Slow, enigmatic character study with nudity, violence."
45,,My hot take? It left me a bit cold.
46,4.5/5,Lee Chang-dong's film offers questions rather than answers because it's main feeling is the omnipresence of the unprecedented. [Full Review in Spanish]
47,,"It's a slow ... burn (haha), but I guess the ending was satisfying. Maybe?"
48,4/5,"When Jong-su states, late in the movie, that ""the world is a mystery"", he may as well be speaking for the audience - even after they leave the cinema."
49,9/10,"In a toxic new world, the only survivors are those with pacts with the devil."
50,5/5,Wave your lighters in the air. This bleak movie is one of the year's best.
