id,user_rating,review_text
1,5/5,"One of the greatest Italian films, Cinema Paradiso is a special, timeless classic that will make you smile and weep in equal measure."
2,5/5,This is both an unashamedly sentimental rite-of-passage picture and a charming reminder of the lost magic of cinema-going.
3,3/4,"The story is drawn from the director Giuseppe Tornatore's childhood memories, presented here as a series of loosely-linked episodes commemorating the importance of movies -- of art -- in the lives of people forced to manage on very little."
4,4/5,"The theatrical cut left a major sub-plot thread dangling, which didn’t seem to bother many other viewers or critics. After seeing the original cut on Blu-ray, I can say without trepidation or hesitation that it is absolutely the best version of the film."
5,,"Never has the love for cinema been so clearly expressed, without tricks or artificiality, within a film.  [Full review in Spanish]"
6,,...by all accounts this is one case in which Miramax's meddling appears to have actually improved a film...
7,4/4,"The theatrical version is a movie of extraordinary passion. In the Director's Cut, it's still an excellent film, just not a transcendent one."
8,4/5,"A celebration of cinema's communal experience, this lovingly crafted ode to the joys projected upon the silver screen is a touching celebration of moviegoing."
9,8/10,"Although charming, its substance isn't overwhelmingly deep, serving more as a lighthearted, idealized, nostalgic coming-of-age tale than a stirring emotional investment."
10,,"Ask me what it is about movies I love so much, and I'll tell you to see Cinema Paradiso for your answer."
11,,"It's another clean, colorful community with an unreal sense of vitality, everyone playing a comfortable role in the neat storyline."
12,,Cinema Paradiso itself possesses enough command and self-conviction to demonstrate that movies can still manage to manifest an alternative universe.
13,B+,A treat.
14,,"Giuseppe Tornatore's film is a charming and gently humorous work of semi-autobiography, composed with an attentive painter's eye and a cinematic cross- referencing of images and motifs."
15,,"Giuseppe Tornatore, writer and director of Cinema Paradiso, knows that the way to make shameless wallowing palatable is to make no great claims for what you are resurrecting."
16,5/5,"This is one of the finest films about innocence ever made, a perfect picture of a time when the cinema was the only source of laughter and joy."
17,,A cinema-lover's delight.
18,3.5/4,"That balance of the ideal and the tragic weaves all throughout Cinema Paradiso, which is epic in terms of the time frame it covers, but feels consistently intimate"
19,4/5,Recent changes to cinema which have seen the projectionist's art sidelined in the digital age add a further layer of poignancy to the magical memories.
20,5/5,"It looks lovely and is full of classic, memorable moments, including a tear-jerking finale."
21,5/5,One of the most delightful and affecting of all movie endings.
22,4/5,"Cinema Paradiso is much loved, though I have occasionally been the man in the Bateman cartoon: the reviewer who confessed to finding Cinema Paradiso a bit sugary and the kid really annoying."
23,4/5,"Tornatore may have hit a sticky wicket with his subsequent work, but he knew what he was doing here: warning us about the irrational lure of the filmed past, which is to say cinema itself, then ushering us grandly to our seats."
24,3/5,"Its confidence is staggering. And its commitment to a classic narrative that is also essentially a parable story, markedly unusual. They really don't make them like that any more."
25,2/5,"A bald-faced act of unalloyed, weapons grade sentimentalism in which humanity is drained of anything with even a passing resemblance to a soul."
26,5/5,"A movie that dispenses bittersweetness, nostalgia and uplift in potent doses."
27,5/5,"Utterly irresistible, this may be a cornball celebration of the art and social history of cinema, but it's also a thoughtful memoir of more innocent days, when pleasures rarely came cheaply or instantly."
28,4/5,"Returning to cinemas in spiffily remastered form ... the film retains its wide-eyed charm, pitched halfway between unrestrained romanticism and unknowing kitsch."
29,4/5,"Charming Italian film about friendship, movies."
30,,Cinema Paradiso is for anyone who loves the movies. And Tornatore's final montage of glorious movie images reaffirms the power and magic of cinema.
31,4/5,Sublime.
32,5/5,A movie lovers' delight
33,B,"Walking a fine line between genuinely emotional and overly sentimental, it evokes the magic of moviegoing in post-WWII Italy through the intimate bond between a young boy and his mentor-projectionist, splendidly played by Philippe Noiret."
34,1.5/4,"Some very interesting and important differences, but as a work on its own -- too long, tedius. See the original, nicely-edited version first."
35,C+,"If too much charm can kill, this emotionally manipulative nostalgic love letter to cinema directed and written by the 32-year-old Giuseppe Tornatore is a killer."
36,4/5,
37,5/5,
38,5/5,"Tuvieron que pasar 5 aos para que pudiramos apreciar la historia original como la concibiera su creador; no obstante, prcticamente se trata de dos pelculas distintas."
39,4/5,
40,4/5,
41,4/4,"an enchanting, sweeping look at post-WWII life, real and reel. It's set mostly in a small Italian village, but the characters, situations and changes it depicts are universal."
42,4/5,"Schmaltzy and soft, but still hard to resist, especially if you can't imagine your life without the movies."
43,5/5,Cinema Paradiso is laden with wonderful moments and ideas. It's quite simply one of the most beautifully romantic films ever made.
44,5/5,
45,5/5,
46,5/5,
47,3/5,
48,3/5,
49,5/5,
50,5/5,
