id,user_rating,review_text
1,,"... it borders on maudlin at times, but the rest mixes heartbreak and hardship with slapstick and spirited gags, all with the grace we’ve come to expect of cinema’s silent comic poet."
2,,That famous final scene didn’t leave me crying my eyes out because the two main characters were thinly drawn archetypes and their bond did not seem to mean anything
3,A,"Charlie Chaplin is a film auteur who's career boils down to two sides, that of comedy and that of personal statement. City Lights remains one of the strongest collaborations between the two."
4,4/4,"City Lights may be Charles Chaplin's most personal motion picture, or perhaps the film's heightened measure of emotion just makes it feel that way."
5,,"It was the year’s top hit, and remains as close to perfection as any feature vehicle for the “Little Tramp..."""
6,5/5,"[The plot] isn't much; but, when written, directed, produced and starred by Charlie Chaplin it is a masterpiece."
7,,In reality -- in what I believe is reality -- this much-seen film from the splendid creator and hero of The Gold Rush is nothing more than a weak collection of minor mishaps imposed on a sentimental story.
8,,The physical comedy in City Lights is fantastic.
9,5/5,"There's a power in these frames, a moment that easily could be used to explain, shorthand, the human attraction to the cinematic form."
10,4.0/4.0,"Charles Chaplin didn't, to my knowledge, make a bad film during his career."
11,,City Lights has remained the most perfect showcase of [Charlie Chaplin's] brilliance.
12,10/10,"Not only Chaplin's greatest achievement, but also one of the most superlative films of all time."
13,5/5,"Ninety-plus years on, the movie is just as funny and endearing as it was in 1931."
14,,"A very likable movie, but it's not extraordinary. [Full Review in Spanish]"
15,4/4,"A magical film, as brilliant and majestic as the city lights from which it gleans its title."
16,A+,"Chaplin and his cast have crafted a silent film that is drastically funny, extremely well-shot and still holds up today...this is a labor of love, for sure, but the end result is a classic that has held the test of time."
17,4/4,"""City Lights"" is excruciatingly funny and terribly, terribly sad. It makes you chuckle hysterically. You have the greatest time imaginable, and yet, occasionally you find little hurty lumps in your throat."
18,5/5,"There's dignity and folly to The Tramp in City Lights, and everything in between."
19,,"Chaplin's growing seriousness, his desire to be more than a mere comedian have deceived him into holding sentiment more precious than fun."
20,4/5,City Lights gets to the heart of the Tramp. It is a beautiful romance about loving someone for who they are and not their social or economic status - and it features one of the most tear inducing and iconic endings in Hollywood history.
21,4/5,
22,4/5,
23,5/5,A screen gem. Youngsters and up.
24,93/100,"This is one of those rare creatures, the work of a master craftsman in full control of his craft."
25,,An enduring masterpiece.
26,,"That final scene. Last week, CNN asked -- in ""The Screening Room's Top 10 Romantic Moments"" -- whether this was the most touching film moment of all time. Could be. Either way, if it doesn't move you, you're beyond human reach."
27,4/4,"With its themes of selflessness and grace, as well as its graceful intertwining of comedy and pathos, this is a fine time for a revisit."
28,,Is this film still funny after 76 years? I think and hope it is.
29,5/5,Perfect.
30,,"The British comic is still the consummate pantomimist, unquestionably one of the greatest the stage or screen has ever known."
31,,A beautiful example of Chaplin's ability to turn narrative fragments into emotional wholes. The two halves of the film are sentiment and slapstick. They are not blended but woven into a pattern as eccentric as it is sublime.
32,4/4,City Lights is a great gift to all of us by a filmmaker at a latter-day peak of his genius
33,4/4,Incredibly powerful and heartbreaking ending.
34,5/5,"Absolutely delightful, hilarious, heart breaking Chaplin classic."
35,5/5,A film worked out with admirable artistry.
36,4/5,
37,5/5,"The greatest and most touching finale of any film. Chaplin's masterpiece mixes comedy and sentiment. it makes you laugh, then brings a tear to your eye."
38,,"Four years after the sound era began, Charlie Chaplin made a meticulously mimed tragi-comedy that found him at his most sentimental, but no less a genius."
39,A+,The quintessential Chaplin film — both the most perfectly crafted and the most representative of all the different textures and tones for which he is remembered.
40,4/5,Widely considered Chaplin's best film.
41,A,Delicately blends comedy and pathos.
42,8/10,"Chaplin always said it was The Gold Rush by which he wanted to be remembered, but a lot of folks think City Lights is his best work."
43,5/5,
44,5/5,"Both funny and touching, this showcases Chaplin at his best."
45,5/5,There's really no such thing as Chaplin's best film -- maybe his five or six best -- but City Lights is probably as close as you're going to get to that default title.
46,4/5,
47,5/5,
48,5/5,
49,4/4,"City Lights, when watched today, has the feel of an old, personal story being passed down another generation. The ending is, to say the least, sublime."
50,,Charlie Chaplin has created one of his masterpieces. I do not know whether to rank it before this or after that; it is a completely organized and a completely created whole which exists for itself without question and without comparison.
