id,user_rating,review_text
1,4/4,Quite possibly the most perfect example of film noir to emerge from Hollywood during that genre’s reign.
2,A,"The joy to be found in Double Indemnity comes not from the plot, which is predictable to anyone that has seen any film noir, but in the trappings and genre elements that hang it all together."
3,,Arguably one of the greatest works of film noir...
4,,Wilder explores the seamy underside of the American Dream in many of his films but never addresses it head on like he does in Double Indemnity.
5,,Billy Wilder’s sensational noir...
6,,I can only imagine how inadequate other actresses playing femme fatales feel when they have to live up to Stanwyck’s legend.
7,,The all-time vintage noir jewel...
8,5/5,"It’s not just writing and direction that ultimately cement the film’s status as a classic text, though; it’s the performance by Stanwyck as the sexy, manipulative, cold-blooded femme fatale."
9,2.5/4,"“Double Indemnity” is a largely uneven film that works in the end. Anyone looking for film noir can look no further, but if you’re looking for tons of suspense, check out Wilder’s other mystery classic."
10,3.5/4,...it’s a thrill to watch Stanwyck go to work and assert her dominance.
11,,"A topic that rather resemble something from France or Russia, not Hollywood.  [Full review in Spanish]"
12,,"Double Indemnity, indeed, turned out to be a pretty good job. Good first of all because the story is told with much sureness and control."
13,,"The murder isn’t the result of a battle between good and evil, but rather a natural response to a system that had no place for either Phyllis or Neff, both pawns in someone else’s game. Capitalism is the true villain of Double Indemnity."
14,,It made Stanwyck the queen bee of film noir and Phyllis Dietrichson is her definitive incarnation: a platinum blonde with a heart of brass and a tarnished soul.
15,4/4,"Billy Wilder's first great movie. It's quite unlike anything else the director ever made, a hard, smooth, crime film full of cynicism and lust and constantly alive and tingling."
16,,Double Indemnity is a ruthless and poignant cornucopia of the details that command our lives.
17,,There’s so much to admire here and so much technical craft on display.
18,,"It does not engage the emotions, mercifully. Rather it invites the laying of odds as to whether the guilty parties will “get away with it.”"
19,,"An ingenious, cleverly written and well acted melodrama, which teems with suspense and thrills."
20,,Barbara Stanwyck Is consistently tough throughout and gives an excellent performance.
21,,"Double Indemnity is positively the best murder film I’ve ever, ever seen. And it’s good old straight old, villainous murder without any psychological alleyways to get lost in."
22,4/4,"A cynical and shrewd motion picture, full of wit and acid."
23,,Double Indemnity depicts a mercenary social world in which the possibility of murdering Dietrichson or someone like him for insurance money arises almost organically.
24,,The complete artistry with which the whole is put together is something to long remember.
25,,"The acting of MacMurray and Miss Stanwyck is cold, crisp, and cleverly paced throughout."
26,,"A powerful, ruthless and almost cruelly exciting picture in which Fred MacMurray and Bareara Stanwyck do the finest acting of their respective careers."
27,4/4,"Barbara Stanwyck has given many interesting portrayals of femininity on the screen, but she has never presented as subtle and indelible a characterization as the one of Phyllis Dietrichson in ""Double Indemnity."""
28,,Brilliantly and toughly directed by Billy Wilder.
29,,"The story, ugly and grim in its realism, grips the audience, holding it spellbound throughout the film."
30,,To director Billy Wilder goes the credit for the suspense of the picture Its excitement stays at high pitch and its tension keeps a spectator at seats edge throughout.
31,,"All told, as melodrama in an insurance office it should turn out to be equally good insurance at the box office."
32,,What a picture!
33,,"Tough, suspenseful melodrama that holds the audience mouse-quiet in its seats."
34,,A crime story of un usual power and with unusually intelligent direction.
35,,Everything about this picture is superb.
36,,"Tom Powers, Jean Robinson and Porter Hall are excellent as the secondary principals, and Director Billy Wilder made this a smooth affair, with steadily mounting suspense, and many powerful crises."
37,,"Double Indemnity, for all its chills and thrills, never really takes on lifelike features."
38,,More than just a detective thriller.
39,,The best melodrama to be shown in Queen Street for several months.
40,,Director Billy Wilder has developed his story toward its climax with a taut hand and a fine sense of theatre.
41,,A slick shocker and a seamy sizzler.
42,,"The screenplay, on which Billy Wilder collaborated with Raymond Chandler, is a gem of tight construction and terse but natural dialogue."
43,,It is questionable whether Billy Wilder has ever turned in a finer job of direction.
44,,A very good murder melodrama.
45,,"There are three first-rate performances by Mr. Fred MacMurray, Mr. Edward G. Robinson, and Miss Barbara Stanwyck, who between them give fresh intensity to well worn situations."
46,,"A murder story that is as faultless and perfect as the crime planned by its principals,"
47,,A melodrama of first-rate standard.
48,,"Hollywood has scored many of its greatest successes in films of crime and violence. ""Double Indemnity"" can stand comparison with the best of them."
49,A-,"In spite of the mundane locations, the movie takes place just outside reality, in a land of stark shadows and snappy talk. It's a world of rotten people, jumping at the chance to lose what soul they have left."
50,5/5,"With its genre-defining moves and censor-baiting story, Double Indemnity is a momentous moment in Hollywood that we take for granted."
