id,user_rating,review_text
1,,"Godzilla Minus One is not only a triumphant return of the most beloved Kaiju of all, but also a deeply emotional experience that re-assessing the themes of the original Godzilla in a refreshing way."
2,10/10,"This movie has it all. It had me laughing, crying, shocked, upset, and enthralled. To bounce from hard hitting emotional scenes to incredibly jarring and crazy action scenes and have it effortlessly flow is extremely difficult, yet Yamazaki did it..."
3,A,"Godzilla: Minus One is the definition of a popcorn film, and it’s one that really shouldn't be missed on the big screen."
4,4/5,"Godzilla: Minus One succeeds as both a powerful post-WWII drama about bringing people together to overcome adversity in the face of impossible odds, and as a suspenseful, thoughtful Kaiju creature feature."
5,,Minus One is an absolute triumph.
6,,"An insanely well-made film with astounding special effects and great performances. It's a Godzilla movie made by the country that knows Godzilla best: Japan. Whatever you do, don't overlook this film."
7,6/10,"There are a few welcome changes to the ordinary Godzilla routines, once again concerning personas with greater development, emotional complications, and moral quandaries, but it still dwells on stock tropes and extremely predictable revelations."
8,3.5/4,"If it’s ultimately a less ingenious entertainment than 2016’s “Shin Godzilla”, it’s still preposterously satisfying, never more so than in a climax whose choreography suggests a child playing with their entire toy collection at bath time."
9,2.5/4,"...the picture, which kicks off with a relatively strong opening, does an effective job of balancing drama with over-the-top monster action..."
10,5/5,"...goes beyond being a great monster movie to simply being a great movie - heartrending, frightening, and ultimately redemptive."
11,,"This is easily, by a pretty wide margin, the best human movie that's ever been in a Godzilla movie."
12,5/5,"The result is a celebration of homegrown courage, with the vastly overpowered citizens fighting to protect the fragile progress of their rebuilt lives and to banish Godzilla back to the depths of the sea."
13,,... a film as much about the legacy of World War II on Japan’s citizens as it is about a giant lizard rising from the sea to wreak havoc on the island nation.
14,5/5,"Among the pantheon of Godzilla films, Minus One is one of the finest entries in the franchise’s 70-year history. It balances spectacle with substance, offering longtime fans and newcomers a reason to believe in the enduring power of the King of Monsters."
15,7,"The presentation of the family drama and life in Japan after WW2 are as good as the depiction of the monster. However, the melodrama went a bit overboard and the usual lagging we see in Japanese films are still here. Good, but not as good as Shin Godzilla"
16,,"In Japan, the monster gives food for thought: it offers pretexts to illuminate dark passages of history, to explore the complexities that exist in some human beings, to denounce and expose guilt. [Full review in Spanish]"
17,5/5,"""In the US, we see a lot of advanced technology, mumbo-jumbo, and things that aren't exactly grounded in reality to help defeat an undefeatable monster, but that's why this period piece is so cool. We're really just using what we have."
18,5/5,Godzilla Minus One proves once again that big tent-pole filmmaking is not Hollywood’s playground.
19,4.5/5,Spectacular effects work stands alongside a beautiful story of human resilience in the wake of war. A strong cast of characters keeps us grounded amid the scenes of impressive yet restrained kaiju destruction.
20,,"Almost all the men are veterans who’ve seen the horrors behind the old lie, Dulce et decorum est pro patria mori (“It’s sweet and fitting to die for one’s country”). . . . “Not having been to war is something to be proud of[.]”"
21,9/10,I love this movie and call it a hidden-gem of a film.
22,10/10,"If you like film, you should watch it. If you do not enjoy it, I’m not sure there is much anybody can do for you."
23,,"Good movie, highly enjoyable. [Full review in Spanish]"
24,7/10,It propels the franchise to new heights and reaffirms Godzilla as the undisputed king of the monsters. [Full review in Spanish]
25,3.5/5,Godzilla Minus One is worth watching. [Full review in Spanish]
26,4/4,Perhaps Godzilla Minus One has too many melodramatic moments. But Godzilla emerges from the depths of the sea and creates wonderment. [Full review in Spanish]
