id,user_rating,review_text
1,,"certainly will not be throwing away my shot! fantastic film, pure adrenaline coming through the screen. this is a test review."
2,,"The camera here is so much more sophisticated and intricate than pretty much any stage production I've seen filmed, and that is to its credit."
3,,"I have rarely seen a recording of a stage musical capture the scale and electricity of a live performance, but “Hamilton” comes the closest."
4,A,All these ideas and issues are conveyed even more powerfully on film than watching it in a theater...
5,5/5,The phenomena that's been the topic of conversation for the past few years is a must watch. Friendly reminder on why Lin Manuel Miranda is a genius.
6,3/4,"Perhaps because of the concert format, and because so many of the songs arent scenes in the traditional sense, the plot also becomes difficult to follow in places."
7,5/5,"The concept is far from being a gimmick, it is a living, heart-stopping masterpiece that uses culture of the present to tell stories from the past."
8,,"Hamilton warrants this extra attention because while the play talks history, it also created history with a flashy, fun approach to musical entertainment."
9,,"There is an implicit experience of theater...one that makes Hamilton enjoyable to the degree that it is, and one that does not translate, here, to film."
10,1/5,"...this neither-fish-nor-fowl version, capturing theatrics not adapted for film, isn't what we need right now..."
11,,One of the benefits of the film is how much additional visual information is added to the experience of the story. The cast album is its own entity.
12,3.5/4,Musical theater par excellence.
13,4/4,"This almost goes without saying because it is so unsurprising: This cinematic representation of Hamilton is, like the work itself, absolutely terrific."
14,,"Telling the story of America then with a diverse cast representing America now, [Hamilton] really transports you with its incredible visuals and performances."
15,4.5/5,"Miranda's daring, genre busting show speaks for itself, often with beautiful tongue-twisting wordplay, and doesn't need flashy cinematic theatrics to bolster what is already a provocative and timely story of creating a union where none existed."
16,5/5,This taping does a remarkable job showcasing the play in a new way-even if you've already seen it on stage.
17,A,"On film, Hamilton feels every bit as fresh, invigorating, intoxicating, and revolutionary as it did when it premiered five years ago."
18,A-,"Historical weightiness aside, Hamilton is simply fun."
19,,"It's fantastic to have a filmed version that gets as close to putting us ""in the room where it happens"" as it's possible to get."
20,5/5,"The show, against all odds, lives up to its hype."
21,7/10,"This is a stage show with cameras capturing the action, and while I appreciated seeing it, I felt like there were missed opportunities to editorialize a little more and draw deeper visual connections than what the proscenium of a stage could provide."
22,5/5,Do not throw away your shot at watching Hamilton's original cast both make and recreate history. 'Satisfied'? You will be.
23,B+,"This two and a half hour movie covers a lot of events that happen over a period of many years, but it manages to do all this at a very lively pace. The songs, both rap and more traditional theatrical songs are well-written and performed."
24,9.5/10,"Even without the magic only a live performance can illicit, this is an astounding piece of theatrical art that is now more accessible than ever."
25,,"Miranda's hip-hop tracks took on a new life on film, bolstered by camera movement, cutaways, and close-ups that aren't possible for a stage production. This helps Jonathan Groff's spit-spewing King George III the most."
26,10/10,Pure masterpiece. It just made me anxious to being able to watch it live someday. Miranda's work is out of this world. [Full review in Spanish]
27,,"In a single song, Renee Elise Goldsberry shows off a range between Monica's vocals and Lauryn Hill's rhyme skills. Goldsberry drops the most exhilarating performance I've seen all year."
28,A-,"Brilliantly adapted by Miranda from Ron Chernow's straightforward biographical book, it is compelling theatre imaginatively directed by Tony winner Thomas Kail."
29,5/5,"The dramatic themes here are big and eternal, and the way history played them out gives them a powerful thump."
30,,It is and will be a classic. [Full review in Spanish]
31,4/5,"There's a line where Hamitlon says ""America, you great unfinished symphony, you sent for me"", If ever there was a time for this song to be sung, it's now."
32,4/5,"Hamilton is above all an exploration of the combo of tenacity, fallibility, and generosity we recognize as being uniquely American. Or used to be, at any rate."
33,A+,Rarely does an uber-hyped pop culture phenomenon live up to the hype. Hamilton exceeds its insanely lofty reputation.
34,4/4,"The film pulses with energy and life - and yes, this Revolution is genuinely cinematic, even if it is being televised."
35,,"The vast majority of this is accurate, which is refreshing...a lot of work was put behind it, and it felt real."
36,,"It's a concept, and this guy made it his way...if you go in for history, there's a possibility that you might be disappointed. But it's an amazing thing..."
37,,"The filmed version of Lin-Manuel Miranda's joyfully groundbreaking, gleefully subversive hip-hop musical... captures the stage show's energy and excitement - and, thanks to artful up-close camerawork, throws in some extra intimacy, too."
38,4/4,This filmed version manages to brilliantly capture what is otherwise the once-in-a-lifetime experience of seeing these moments on stage.
39,9.5/10,The stakes are felt from the opening scene... The expertly-written musical numbers will stick with you for a long time.
40,5/5,Phenomenal.
41,5/5,"This brought the energy. The choreography, the music...obviously there was a lot of hype around this, but this delivered."
42,C,"If anything, the true magic act Miranda pulled off with his uber-popular creation is in how he managed to trick an entire country into thinking that ""Hamilton,"" a self-absorbed, dramatically inept play, is more important than it actually is."
43,5/5,"While no filmed play can capture the electricity of a live performance, ""Hamilton"" comes close."
44,5/5,"A completely transformative experience. Not only because the Broadway show is an insanely good... maybe even perfect stage production, but because the filming of it is so fantastic as well."
45,,"Believe the hype. Lin-Manuel Miranda's hip-hop musical about the life of American founding father Alexander Hamilton is a huge achievement, and a hugely entertaining piece of work."
46,3.5/5,"Somehow, despite all the popular adulation, critical acclaim, box office success, hot air and hype it turns out that Hamilton, as presented here, is...actually quite good."
47,4.5/5,Most of what's great about Hamilton on stage successfully makes the transition to television.
48,3.5/4,"Hamilton succeeds as a musical incentive for fans to seek out what truth about their Founding Fathers they can find, given the whitewashed U.S. history taught to generations of public school students."
49,5/5,"It may not be the same as watching an actual movie based on ""Hamilton"", but this filmed version of the magnificent musical is, without a doubt, the next best thing. [Full review in Spanish]"
50,4.75/5,Once my brain made a few adjustments I loved it.
