id,user_rating,review_text
1,5/5,"…this epic animation from Dean DeBlois and Chris Sanders does just about everything right…the makers anticipate the need for kids to understand prejudice, family and disability, without ever forgetting the film’s primary function to entertain..."
2,,has an important message for kids with a ton of heart and soul
3,3/4,"When it’s all over, the movie’s strengths—the impressive visuals, the neat dragon designs, and the central boy-and-his-dog relationship—are what remain and make it worth your time."
4,,"The story is so-so, but the animation is delicious.  [Full review in Spanish]"
5,,"Director Dean DeBlois’s trilogy is not only great entertainment, but powerful emotional storytelling about what it means to grow up, and be responsible for others."
6,8/10,"Gone are the sarcastic one-liners, replaced by some genuinely funny slapstick..."
7,8/10,Has all the ingredients of a blockbuster action film - yet it's a family-friendly computer-animated movie.
8,3.5/4.0,"The vocal work in How to Train Your Dragon is stellar across the board, most notably Jay Baruchel's delightful mix of vulnerability and hidden strength."
9,4.5/5,You can see that the animators who worked on How to Train Your Dragon loved every minute of making it.
10,3/4,"Gorgeously animated, and accompanied by a rousing score by John Powell, How to Train Your Dragon is a delightful adventure with a surprising dose of heart."
11,,"How to Train Your Dragon, an animated wonder of a film, does have often-familiar, heartwarming themes about individuality, acceptance, teamwork and prosthetics. It also has wicked awesome dragons..."
12,3.5/4,"How to Train Your Dragon boasts stunning visuals, particularly the gorgeous and exhilarating dragonback flying scenes, which are worth the extra cost for 3-D tickets."
13,4/5,"So far, the best animated movie of 2010. [Full review in Spanish]"
14,,"It's charming, funny and a lot like Avatar, though less solemn and an hour shorter."
15,,"Based on the book by Cressida Cowell, the movie from writer-director Dean Dubois is funny, well-drawn and imaginatively structured so that adults need have no fear about taking the kids to it."
16,,"Instead of relying on dizzying gimmicks, Dreamworks' new animated feature simply revels in the sheer heart-pumping pleasure of watching action unfold through those Buddy Holly-style glasses."
17,,"It's a foolproof scheme for picture making: take the plot elements of favorite movies, paint the concoction with bright colors so it looks like the zazziest customized car, set it running at NASCAR speed, and you have How to Train Your Dragon."
18,5/5,"Undoubtedly Dreamworks' best film yet, and quite probably the best dragon movie ever made."
19,B-,Everything from the angle of the shot to the speed of the editing projects an end visual that feels like you're either on Toothless' back or you get an outsider perspective of just how fast he's flying.
20,,What helps elevate How to Train Your Dragon above the glut of other recent animated fare is its message about tolerance and realizing that your enemy may not be as different as you think.
21,,This is the best animated film since Coraline. It proves that adventure can be fun and still say something.
22,,How to Train Your Dragon glossily repackages two of the most common themes echoed in animated family movies: embracing uniqueness and rebelling against conformity.
23,4/5,"Three cheers to DreamWorks for zipping it, at long last: in laying aside the post-modern quips, they've rediscovered an airborne sense of joy."
24,6/10,"Happily, Toothless, like Stitch, combines affects of cats, dogs, bats, lizards, and other independent-minded creatures, known and unknown."
25,4/5,There's lots of action but there's even more heart.
26,3/5,It's all right.
27,,How to Train Your Dragon is one animated movie where the background images are at least as interesting -- and sometimes more interesting -- than what's in the foreground.
28,4/5,"It looks very cool, especially in three dimensions."
29,3/5,The humour is delightful and consistent... All age groups might equally appreciate the film's pertinent point that learning about a perceived enemy is more valuable than fight-or-flight.
30,5/5,How To Train Your Dragon may be the most emotionally satisfying boy-meets-creature movie since E.T. - and that's not a comparison made lightly.
31,4/5,The surprise of the 3D animated adventure How to Train Your Dragon isn't that once again the digitally-rendered creatures dazzle -- it's that the movie does too.
32,3.5/4,What we have here is an exhilarating epic that mixes comedic and touching moments with some of the best action sequences ever created with CGI animation.
33,4/5,"A soaring, roaring triumph when it comes to head-spinning visuals, How To Train Your Dragon keeps things simple."
34,,Toothless has the one precious ingredient that's missing from so many of Hollywood's contemporary animated characters: an air of mystery.
35,3/4,"On sheer visual terms, though, How to Train Your Dragon more than delivers; it's the kind of movie that will stick in the memory of kids who might want to make movies when they grow up."
36,,A fun if lightweight adventure comedy that flies highest when it's putting the studio's patented 3D technology to striking use.
37,,"Smartly dispensing with the usual hubbub of pop references that dot many of these films, the movie offers touching, quiet moments and imaginative, high-flying beauty. It's fantastically entertaining."
38,B+,"It's a familiar story of friendship between man and beast, but it's also one that never grows old."
39,3/4,"We may have seen such a story before, several times before actually, but somehow the creative team behind this film still manages to make it feel fresh, while keeping us engaged in its plot."
40,3.5/4,"Exuberant execution, infectious humor, and overwhelming charm."
41,,"A totally enthralling movie that despite using well-worn themes seems totally fresh. Beautiful to behold and always witty, this is what I would have nominated as best film of 2010 had I seen it in time."
42,B+,It's a Harry Potter-meets-Avatar adventure that should delight most children and adults.
43,3/4,"The humor, while quite often aimed at children, is light and funny enough, but without hurting the action at all."
44,3/5,"While by no means a classic, 'How to Train Your Dragon' is sweet, likable fun."
45,,"Most magical is the funny, tender bond between the uncool teen and the wildly cool, beguiling black dragon, Toothless. News bulletin: we don't have to kill everything we're scared of! And we might just get the thrill ride of our geekiest dreams."
46,8.1/10,"The result is fun and thrilling, and plenty of snappy jokes and sight gags will keep audiences of all ages entertained."
47,4.5/5,"Like Up, it knows when to be funny, when to lay on the action and when to be moving."
48,3/5,Swooping visuals and knockabout comedy blend in a family entertainment that should be the Easter weekend treat.
49,3.5/4,"Technically proficient and featuring a witty, intelligent, surprisingly insightful script, How to Train Your Dragon comes close to the level of Pixar's recent output while easily exceeding the juvenilia Dreamworks has released in the last nine years."
50,,Those who were enchanted by the flying sequences in Avatar will experience the same exhilaration here as Hiccup rides Toothless between mountain peaks. Equally uplifting is the father-son reconciliation which is handled with just the right emotional heft.
