id,user_rating,review_text
1,5/5,Never not in the mood for this sumptuously beautiful yet melancholy and mysterious masterpiece.
2,5/5,Revisiting In the Mood for Love 25 years later makes for an even richer experience. We can see how it plays into that one long film Wong said he was making and can feel its particular rhythms and how it adds a few new riffs.
3,10/10,There’s a difference between being duty-bound to another and being bewitched by them. There’s also a difference between preserving the potential of love at its height and acting on it to discover its decline. There’s magic in the uncertainty of maybe.
4,4/5,"This cinematic achievement, which leaves a lasting effect on the spirit, reminds us of the tremendous depths of the human heart and the persistent appeal of what might have been."
5,5/5,"Sumptuously shot in tight corners, cramped corridors and tiny alleyways for maximum intimacy, the unspoken longing of the star-crossed lovers is both palpable and poignant, though the rushed ending somewhat undercuts the glorious build-up."
6,,The heterodox style collapses time on itself—prolonging the marital collapses of the two couples and expanding the potential for a union between [the two main characters].
7,FIVE STARS,"The film's indisputable beauty radiates with a burning glow that emanates from its charismatic lead actors.  

""In The Mood For Love"" was an instant classic when it premiered at Cannes in 2000. It remains Wong Kar Wai's finest cinematic achievement."
8,,"Maggie and Tony live in illusion, painfully prolonged out of fear of dying from disappointment. [Full review in Spanish]"
9,,"In the Mood for Love is probably the most breathtakingly gorgeous film of the year, dizzy with a nose-against-the-glass romantic spirit that has been missing from the cinema forever."
10,,"In the Mood's exquisite refinement adds a new hue to Wong's rainbow while doing no harm to his reputation as the reigning king of pure, unfiltered cinematic cool."
11,,"In the Mood for Love excites us with words not spoken, passions not played out. A mood story more than a love story, it's all about sustaining a state of exquisite melancholy in the face of desire."
12,4/4,Wong Kar-wai's graceful cinematic poem is one that should be savored.
13,5/5,"If it is possible to find the erotic register of despair, or the romantic dimension of ennui, then Wong Kar-wai certainly achieves it in his new film."
14,,"It is undeniable in its poignancy, an ecstatic vision of what might have been, though as much for its story as for the fact that the whole thing dissolves like a paper fan in rain, an evanescent masterwork."
15,,"Their pain borne with grace and their rapture held in check are revealed as vividly through the two stars’ radiant stillness as from the nocturnal glow of Wong’s poised, tense images."
16,,"A picture that's about the spaces between people, the emotional connections not made, the cataclysmic effect of one hand withdrawing from another. In other words, not the most plot-driven picture ever made."
17,,Some viewers will feel frustrated -- and the degree of frustration the audience feels may be in direct correlation to the filmmaker's success.
