id,user_rating,review_text
1,3/5,"This effort is a maelstrom that is visually impressive and the creative gaudiness is off the charts in true ""Mad Max"" fashion."
2,A+,it’s no surprise that Mad Max: Fury Road has achieved the status it has in the pantheon of action cinema.
3,,"When the relationship between Max and Furiosa changed for me, it became one of my favorite films of the year. I was moved by it."
4,,"It’s not her movie. It’s not even Max’s movie. It’s both their movie, and they needed each other to thrive and be redeemed. It’s in these moments of subtlety in Miller’s direction and Tom Hardy’s performance that help emulate that..."
5,5/5,"Mad Max: Fury Road is not only a terrific action film, but also one of the most awe-inspiring films ever made. With a magnificent story, cast, and visuals, that is not hard for anyone to believe once they set their sights on it"
6,,"An all-action over-the-top blast from start to finish, be it the acting or action, Mad Max: Fury Road offers the briefest of quiet moments in between. Yet, it knows how to be both tender and epic. The finale is thrilling…"
7,10/10,"Mad Max: Fury Road changed the discourse when directors returned to their landmark franchises. In fact, it etched many involved into the history of cinema."
8,4/5,Mad Max: Fury Road marks the franchise’s return to form thirty years after the Mad Max Beyond Thunderdome misfire.
9,,"... easily the most visceral and the most intelligent action film of year. Decades in the making, there's nothing else like this out there."
10,,"Surpassing expectations and delivering a heaping dose of electrifying visuals, Mad Max: Fury Road is what all blockbuster action movies should strive to be."
11,,The entire movie takes place over one absolutely bonkers chase sequence. Its cinematic stats are jaw-dropping...
12,,"What follows is not quite as routinely life-threatening, but it’s still incredibly physical filmmaking. $150 million, it seems, will buy you the budget to stand in the desert and sling a camera around..."
13,5/5,This is pure action cinema – a beautiful mixture of old-school style and modern movie technology.
14,4/4,"The viewer becomes swept up in the forward-moving narrative impetus, thrilled to audible gasps by Miller’s wonderfully excessive parade of stunts and effects, each more impressive and more fantastically outlandish than the last."
15,10/10,"It is the rare, beautiful film that can take even the most staunch of cinephiles and reduce them to a giddy child, flush with excitement and rooting for the heroes to win."
16,5/5,"The definition of a wholly unapologetically action-packed film, Mad Max: Fury Road breathes new life into an old series..."
17,A-,"It's hard to see another movie equalling this one's grand ambition, deep ideas and awe-inspiring action."
18,,"In a film with such a strong female lead, how could George Miller write such thoroughly forgettable supporting characters?... [Also] how in the hell is Zoë Kravitz the sole black person in this future earth?!"
19,,"Charlize Theron delivers a captivating, challenging performance as Furiosa, arguably her best since Monster."
20,,Other favorite moments include finding which men could not keep a beat in any scene with drums.
21,,Holy cow I loved this movie.
22,,I had my palm raised to the universe the second [Charlize Theron's Furiosa] took control of that big rig and led the charge across the desert.
23,,"The film offers extremely satisfying set pieces and action, plus ultimately some reveals that change how we previously understood our main character."
24,,"You'll have to watch it to see how it took us to new heights of energetic, ambitious, emotionally resonant, intelligent, exhilarating, and political filmmaking."
25,,"On top of all the crazy good stuff, there are a bandit of kick ass grannies living in the desert! (I mean, Miller must be channeling some Ursula K. Le Guin fan fiction here, jesus christ) And it works! Miraculously!"
26,,Mad Max: Fury Road is a movie with the kind of reach most people - and even most movies - can only aspire to.
27,8/10,Less a remake and more a reinvention of Miller's own postapocalyptic action movie genre.
28,,Fury Road is a masterpiece of mayhem which cemented Charlize Theron as one of the greatest modern action stars and there's no experience quite like it.
29,4/5,"This is exactly the type of grand cinematic spectacle brimming with passionate, zealous ideas that's been sorely lacking from the mechanical operations of formulaic tent poles."
30,5/5,Films like Mad Max: Fury Road do not come along often. Director George Miller delivers an epic and visual cinema art film that celebrates survival and hope in a bleak and deranged universe.
31,A+,"Wall-to-wall visceral action, insane practical stunts, highly stylized production, with a thoughtful take on the apocalypse."
32,,"Fury Road is the literal definition of controlled chaos. It's an amazing, full-tilt assault on the senses ... the most brilliant piece of mayhem to ever hit the screen."
33,8/10,"In addition to being furiously entertaining and having new protagonists, watching this blockbuster is like going to the desert to see a special show by Monster truck, Slipknot and Cirque du Soleil. [Full review in Spanish]"
34,,This movie was just bonkers.
35,,"It was great. I mean, this is how to do an action movie."
36,,"Mad Max: Fury Road will be the film to beat for a long time coming, and the new high-water mark against which to judge action and blockbuster filmmaking. This is, quite simply, how it's done."
