id,user_rating,review_text
1,4/4,"No Country for Old Men is a delirious drama that often echoes such classics as Psycho, Touch of Evil, and Chinatown."
2,5/5,"The folksy characters typical of the Coens’ work are perfectly juxtaposed against the ruthlessness of Bardem’s incomparable performance. Both the landscape and soundscape are simultaneously barren and rich, mirroring the understated yet powerful dialogue."
3,,Whether the Coens have made better movies is subject to opinion but there is something incontrovertible about No Country’s status as god-tier filmmaking. Repeat viewings do nothing to lessen its staggering power.
4,5/5,"The Coens capture that chaos in a controlled, commanding movie, the best of their career and one of the best of the century."
5,5/5,"No Country for Old Men is one of the best films of the 2000s, one of a few Coen masterpieces, and one that will easily stand the test of time when considering what it has to say about the way of the world, dark as it may be."
6,,No Country For Old Men is a great film from two great directors.
7,5/5,No Country for Old Men is in the top tier of the Coen Brothers filmography and is among the best films they have ever made.
8,,Roger Deakins’s cinematography is as much a star of the film as any of the cast.
9,,"A model of simple, strong, evocative storytelling pared down to the bone, 'No Country' is filled with richly-drawn characters and an enthralling story that builds merciless momentum."
10,,"Filled with violence, suspense, and the dark comedy that has made the Coens famous, No Country remains a deeply profound look at how time passes us all by, and no matter how hard we try, we can’t stop what’s coming."
11,5/5,"The violence is startling, the pacing is perfect, and there is just the right amount of dark comedy. You’ll wince in one scene and laugh out loud in the next one."
12,10/10,The two-hour runtime flies by as the Coens shame bloated blockbusters with sheer craft.
13,8/10,"Relentless in method, challenging in presentation, and unforgettable in execution."
14,,"No Country for Old Men draws its characters as broad representations of human morality, which makes them all the more compelling."
15,4.0/4.0,"The greatest films are such a force of life and death, love and hate that once the closing credits begin to roll, the film's cinematic life has just begun."
16,4.5/5,"The Coen brothers deliver one hell of a modern western, with themes that resonate and characters that won't let you forget them. [Full review in Spanish]"
17,,"The Coen Brothers honor McCarthy by reproducing whole chunks of dialogue from the book, and judiciously trimming plot. Jones' plaintive mourning for a country that's become too complicated to police is enough for us to know why he's packing it in."
18,A,"With very little dialogue, Bardem is an imposing, evil presence who makes every scene he is in a white-knuckle moment."
19,4.5/5,"The Coen Brothers' vision was quite simply visionary, and still is."
20,4/4,"An unexpected sucker-punch of a movie - raw, gritty and deeply humanistic."
21,,The consequences are powerfully gripping as the Coens ratchet up the tension in a visceral thriller that ranks with their best work.
22,,"It's a smart film and pure Coen. It has a point, though some may contest it. But it's not a must-see film for everyone so if you are a Coen fan, don't take your grandmother. She will say it sucks."
23,,The Coen Brothers are back with a triumphant return to form.
24,,"No Country for Old Men is a great return to form for the Coens. Even if you've never been a big fan of theirs, it's a film you should see if you like a good thriller."
25,4/5,"The film clearly and finally represents the mainstream success that has long eluded the Coens. Longtime fans, fear not: This is no sell-out. There is still plenty of what the Coens do best."
26,5/5,The Coens have returned... full of talent. [Full review in Spanish]
27,5/5,"No Country for Old Men is imbued with a dry, minimalist, almost crude style and forms a dark and violent universe that reveals the horror and moral rot rooted in American society. [Full Review in Spanish]"
28,,"The lack of respect for the body, the sheer bloody aftermath depresses me. Yes, they may handle the killing with verve and ironic tension, but this is a Coen brothers film too far."
29,4/4,The road to doom is paved with blood and bad decisions in one of the best pictures of 2007.
30,,There's no denying the movie and this character's power to shake you. The implacable Chigurh dominates the proceedings like no other Coen villain before him.
31,3.5/4,One of the most thoughtful and startling snapshots of the human condition of the last ten years.
32,,"Played by Spanish actor Javier Bardem, Chigurh is the most original bogeyman to bloody up the screen in a while."
33,,The last word on the modern-day western used to be Peckinpah's. No Country for Old Men is Peckinpah gone post-Peckinpah.
34,,"Beautifully photographed (by Roger Deakins) in leathery Texas tans, No Country For Old Men is filled with twists and surprises, hypnotically engaging from its very first scene."
35,,From brutal start to ironic finish the movie's tension is constant.
36,,I can't help feeling the film is ultimately hollow.
37,,"An exasperating and self-defeating experience, rather like listening to a nymphomaniac extol the virtues of celibacy."
38,4/4,"As much as the film is about Bardem's even-keeled determination... it's also about Tommy Lee Jones' brilliantly characterized Texas sheriff, who, faced with a trail of blood like he's never seen, wonders if he's still a match for a changing world."
39,A,"No Country for Old Men is an action film both measured and grave, opening as a Jim Thompson-esque crime saga set on the Texan sands, but as it moves along the film acquires an allegorical depth."
40,5/5,This magnificent film represents the best work the Coen Brothers have done since Fargo. Like that classic this is a cold-blooded thriller with a darkly humorous edge.
41,4/5,No Country for Old Men is a thoroughly compelling exercise in the cinema of suspense that proves the power of the old-school thriller remains undiminished.
42,,"It's not a film that asks to be either liked or disliked. It just is, branding itself on to you like a heated iron."
43,3.5/4,The Coens' unconventional editing techniques convey a sense of setting and urgency few filmmakers could accomplish (or even would brave trying).
44,5/5,"Don't be put off with all of the mentions of violence. Yes, bloodletting is at the core of the movie, and the ending is as downbeat as the opening scenes. But, gosh, you know you have been to see a great film."
45,5/5,"It's an instant classic, as thrilling as it is quiet and hypnotic, and all the more powerful for anchoring a story with essentially three characters, none of whom share the frame together, being, how they are, one small step behind the other."
46,5/5,"Seventy minutes into the film, there's a rude burst of mariachi music as the hero awakes... That wouldn't be worth noting, except that we suddenly realize that for the first tense, suspense-filled hour of the film there has been no music at all."
47,,"There are constant twists and turns, eventually straining credulity, but there's also -- and typically for The Coens -- a salutary quorum of absurdist dialogue, black humour and wryly memorable exchanges."
48,5/5,The suspense is killer. Hitchcock would be sick with jealousy.
49,4/5,"No Country for Old Men is wide and dusty and terribly bleak. It's beautifully photographed and assembled, with great performances from its lead players and a number of welcome appearances by actors we haven't seen enough of lately."
50,5/5,"Javier Bardem makes for a terrifying villain. He looks physically corrupt but seems every bit as relentless as the Terminator. He's also believably, psychotically human."
