id,user_rating,review_text
1,,"Murder might have been rife in Hitchcock's earlier work, but the gutting sense of random mortality in 'Psycho' is as far as one can get from the semi-jocular bloodless deaths of 'Strangers on a Train' and 'The Trouble with Harry.'"
2,,...remains one of the most unnerving moments in film history and Norman Bates still gets under your skin in the creepiest ways...
3,4/5,"Anthony Perkins' iconic performance makes Norman Bates one of the most indelible villains in cinematic history. And the camerawork, direction and dialogue in his scenes all give the viewer a unique sense of intimacy with Norman and his troubled psyche."
4,,The impeccable direction and skillfully crafted suspense are magnificently complemented by spine-tingling moments and Anthony Perkins' performance that will be always remembered.
5,,"The impeccable craft of Alfred Hitchcock is showcased even more effectively here, in the director’s take on a B-movie, than it is in many of his loftier projects."
6,5/5,What else can be said about Hitch's masterpiece? It's a masterpiece!
7,4.5/5,"Certainly Psycho has a problematic queer legacy, but Hitchcock's classic is technically masterful, features iconic sequences and boasts two stellar lead performances in Perkins and Leigh."
8,,The granddaddy of all slasher films and psycho-thrillers will never have the same impact as it did on first release.... But Hitchcock’s craft is breathtaking.
9,4.5/5,"A film with a flawed ending (the psychiatrist scene will always annoy me), that can still be enjoyed to this day, thanks to its incredible handling of suspense, memorable characters, iconic scenes, and extraordinary soundtrack. Full review in Spanish."
10,5/5,"Not that [Marion] or we are guilty of the horrors [Norman] is, but this is a movie fundamentally about shame, of which guilt is an inextricable component."
11,,"The impeccable direction and cinematography, the masterful suspense, and the pitch-perfect performance of Anthony Perkins as Norman Bates all combine to create not just one of the best horror movies of all time, but one of the best films of all time."
12,,"From these lunatic situations Hitchcock has created something persistently compulsive. From his players, and especially from the duel between the brilliant Anthony Perkins and Martin Balsam he has drawn frightening, sombre comedy."
13,5/5,"Psycho still works on the big screen. Its success lies in its ability to find horror in the mundane... the true horror of Hitchcock’s masterpiece is that (Norman Bates) could be anywhere, just waiting at that next rest stop."
14,5/5,"The score alone is a supporting character. It makes various appearances throughout suspenseful moments in the story  most notably the shower scene. Those high-pitched, ear-piercing violin strings will forever be associated with fear and catastrophe."
15,5/5,"Psycho allowed [Hitchcock] and his audience to fulfill their desires of observing a fascinating, macabre world by becoming a fly on the wall without being swatted."
16,,Hitchcock forged career-best performances out of Anthony Perkins and Janet Leigh.
17,,Any excuse to watch Hitchcock's film is all right with me. I hope I never find myself in a motel as creepy as the Bates' but I do enjoy returning there on my television.
18,,"For a report on what audiences experienced while watching ""Psycho"" when it was first released, listen to my own mother. My mom, Geraldine Calleri enjoyed seeing Hitchcock's films. You couldn't have found a more appreciative audience."
19,,It is the ultimate example of how the medium can sway our thought process ... It is the art form operating at its highest capability.
20,,"The work speaks for itself, both in its treatment of women and Hitchcock’s ability to imbue his own issues into the films. They are visionary in their meticulous and specific touches, yet they entertain and mesmerize."
21,10/10,A supremely thrilling murder mystery that boasts a climax unlike any other.
22,4.5/5,"Hitchcock's black & white classic is a masterclass in directing, tone and acting performances. Definitely ahead of its time. [Full review in Spanish]"
23,5/5,Psycho is that rarest of beasts - it's both art and entertainment. It's also Hitchcock's best film.
24,5/5,"Even though Psycho isn't as terrifying under today's cinematic standards, the film stands out as one of Alfred Hitchcock's finest achievements."
25,,"Psycho comes nearer to attaining an exhilarating balance between content and style than anything Hitchcock has done in years. Of course, it is a very minor work. But its virtues of tension, surprise, virtuosity and control are all major ones."
26,,"Alfred Hitchcock's latest is not his customary comedy-thriller but a gruesome horror tale with overtones of spiritualism and the padded cell, although as usual the master's tongue is occasionally in his cheek."
27,5/5,The beauty of Psycho is also that it is an art film masquerading as a genre film; though it is not in any way remote or inaccessible.
28,,"I think the film is a reflection of a most unpleasant mind, a mean, sly, sadistic little mind."
29,,"Hitchcock ingeniously puts himself one step ahead of us. They don't call him the master for nothing: we're just followers, guinea pigs he's tickled to toy with."
30,,It is one of [Hitchcock's] most brilliantly directed shockers and also his most disagreeable.
31,,"A brilliant technical exercise, an intimate character study, and the ultimate variant on the premise ""boy meets girl."""
32,A+,Psycho continues to be thrilling to this day.
33,,The film has its authentic moments of visual shock that make you sit up with sheet whistling admiration... I just feel Hitchcock has over-rated what he was up to in Psycho.
34,4/4,The legendary director's best picture.
35,,Paramount won't let anyone enter theatres where Psycho is playing after the picture starts. No one will want to leave before it is over.
36,4/4,The obvious thing to say is that Hitch has done it again; that the suspense of his picture builds up slowly but surely to an almost unbearable pitch of excitement.
37,5/5,"Even now, it's distinctly unnerving."
38,5/5,groundbreaking and ahead of its time
39,,An absolute work of art.
40,,"After half a century of terror, Psycho is still ensuring that no one feels safe in the shower."
41,,"Psycho is not a long film but it feels long. Perhaps because the director dawdles over technical effects; perhaps because it is difficult, if not impossible, to care about any of the characters."
42,4/5,"The shower sequence, the shrieking score, Anthony Perkins, that twist ending... Psycho remains a stone-cold classic."
43,10/10,"It's not hardly Hitchcock at his most flawless, but not a single film he ever made... is so absolutely flattening as a total experience."
44,,"Watching Psycho today we are all, like Marion in the shower, vainly trying to recover lost innocence too late."
45,,"It is incumbent on us to inspect the real horrors of our time, but we don't have to traffic with Hitchcock's giggling obscenities."
46,10/10,Alfred Hitchcock's Psycho set the standard and post-modern horror has been hobbling to catch up ever since.
47,,Hitchcock is the most-daring avant-garde film-maker in America today.
48,5/5,Horror masterpiece definitely isn't for young kids.
49,3.5/4,...lives up to its reputation as one of the most entertaining and suspenseful horror films of all time...
50,4/4,"Hitchcock's manipulative classic of ""pure cinema"" does have a heart that pumps human blood, in its sublime parlor scene between Anthony Perkins and Janet Leigh."
