id,user_rating,review_text
1,4/4,"It's tough to fight the longstanding consensus that this is the greatest movie musical of all time, but what's often lost in the praise is that this also qualifies as a great comedy."
2,5/5,Unbelievable the level of suffering that these people went through to create the most exuberantly joyful movie ever made.
3,5/5,...might be the most magical of movies about movies precisely because it doesn’t insist on the magic of movies.
4,,"It’s an extravaganza of color, joy and mockery of hokey romances, but perhaps above all, you couldn’t re-create the miracle of Gene Kelly’s footwork with a billion-dollar supercomputer and a contract with the devil."
5,5/5,It's a unique work of art crafted for the screen by a studio (MGM) at its height.
6,,You would never know that this wasn’t produced with the intention of creating a near-perfect masterpiece. The results of the difficult production are seamless.
7,,"[It] has been hailed as the greatest American musical ever made. It’s certainly one of the most fun, a knockabout reimagining of the transition from silent to sound movies: lousy history but a blast of singing, dancing, romance, energy and color."
8,4.5/5,This is a movie of a bygone era – an era when an audience could be impressed by the sheer happiness of a story and moved by the footwork of a master.
9,4/4,"To put it bluntly, this is one of the funniest films ever made."
10,,"... it sweeps you off your feet, wrapping you in a warm blanket constructed of song and dance numbers that make you feel like you can run up a wall, jump, and land on your feet."
11,5/5,"That iconic imagery of Gene twirling, tapping, stomping, and splashing around lamp posts, puddles, and sidewalks while crooning is fixed in Hollywood legend, but ""Singin in the Rain"" has a lot more going on than just that one song-and-dance number."
12,,Warner Bros. gives its greatest musical yet another substantial home-video upgrade with a gorgeous 4K disc that maximizes the films visual and auditory ravishments.
13,,Singin in the Rain makes you feel transported to Hollywood of the 1920s through beautiful production design highlighting the beauty of an era of black and white film with vibrant colors that feel fitting of that period.
14,4/4,"Long before his arrival in Hollywood, Kelly aspired to blend dance with narrative and, with the technical assistance of Donen to realize his vision, he finally achieved his goal with Singin in the Rain."
15,,"Bristling with the old Arthur Freed production touch, this MGM Technicolor movie is entertaining in all departments and proves to be a top vehicle for the talents of Gene Kelly and Donald O'Connor."
16,,"Let's not overlook the Charleston numbers, Kelly's rain dance in the street, the fabulous Hollywood premiere, the innumerable ribs Hollywood gives itself... Director Stanley Donen (and Kelly) and Producer Arthur Freed, who has done it again."
17,5/5,Sits high on a pedestal. The best movie musical of all time. [Full review in Spanish]
18,,The story overall is simple but the film makes sure the stakes are high enough to justify the character reactions.
19,4.0/4.0,There are those films in life that simply always put a smile on one's face. Singin' in the Rain is one of the best.
20,5/5,Singin' in the Rain will go down in cinema history as the best movie musical of all-time.
21,10/10,Simply without equal in the musical genre.
22,5/5,I can guarantee this is the only review of Singin' In The Rain that references Natalie Imbruglia's Torn.
23,4/5,"As much a satire on the ever-changing format of filmmaking as it is a joyful, glorious ode to life itself."
24,,Singin' in the Rain [is] to me the Hollywood movie which has most nearly achieved perfection.
25,,An energetic and often quite diverting Technicolor musical which pokes fun at the state of turmoil in Hollywood when silent pictures suddenly became unsaleable.
26,5/5,Is Singin' in the Rain the finest movie musical of them all? There are none better in my book.
27,5/5,"The unstoppable joy of the musical numbers, especially with O'Connor, is what never fails to seduce - perhaps especially in Moses Supposes."
28,5/5,"Effervescent, life-affirming cinema... an antidote to any ailment, illness, or woes about the state of Hollywood."
29,,"A masterpiece will always be a masterpiece, and it is very difficult to imagine that it may be possible to improve it in some way. [Full Review in Spanish]"
30,,It certainly could be argues that it is one of the best musicals ever made.
31,,"Tap-dancing has never looked so unstoppable, nor so liquid: most tappers clench up and hammer away like road-drills, but these two sway their hips and laugh off the effort."
32,,Singin' in the Rain is another mighty fine MGM Technicolor musical comedy produced by Arthur Freed whose An American in Paris copped seven Academy awards last week.
33,4/4,"Kelly's delight - not in his own movements, but in the sheer joy of being able to move - is contagious."
34,5/5,Often considered the finest musical of all time.
35,5/5,"For humour and sheer energy, no musical betters Singin' In The Rain."
36,,"...this one's the Taj Mahal, Armstrong's footprint on the moon, the 2001 Arizona-New York World Series, the Clash's London Calling, and the perfect foamy head on an expertly poured Guinness."
37,,One of the shining glories of the American musical.
38,,A fancy package of musical entertainment with wide appeal and bright grossing prospects.
39,A,"At the time, this film was treated as just another MGM musical but over the years it has gained in stature and is now considered as one of the best American films ever made--Read why."
40,,"If you've never seen it and don't, you're bonkers."
41,,"Come rain or shine, the Hollywood musical never got any better than this rip-roaring Stanley Donen/Gene Kelly classic."
42,A,Mandatory viewing for even the casual moviegoer.
43,5/5,
44,5/5,
45,5/5,"The greatest musical ever!! A movie everyone should see over and over again. If it doesn't touch you, check your pulse."
46,5/5,A big beautiful film! You can watch it 1000 times and still giggle!
47,3/5,False picture of early talkie era is not nearly as good as its reputation.
48,10/10,
49,5/5,Hollywood's best musical
50,4.5/5,"Compounded generously of music, dance, color, spectacle and a riotous abundance of Gene Kelly, Jean Hagen and Donald O'Connor on the screen, all elements in this rainbow program are carefuly contrived and guaranteed to...put you in a buttercup mood."
