id,user_rating,review_text
1,3.5/4,Pretty good as a superhero saga but phenomenal as an animated feature.
2,9.5/10,Spider-Man: Into the Spider-Verse breathes new life into versions of characters we have seen before in live-action films and television series as well as in the comic book pages.
3,5/5,"The script's youthful humour maintains the human charm that is typical of other Spideymovies, but the highlight here is the other versions of Spider-Man that we meet along the way."
4,,"As long as there’s creative juice for this world, any follow-up would feel inspired. It’s a tough act to follow; it’s difficult to outshine one of the most multidimensional animation films of the decade."
5,5/10,"It’s yet another example of a generic, forgettable superhero story catering almost exclusively to sci-fi action, entirely ignoring whether or not it feels coherent or meaningful."
6,,"Why the majority of superhero movies chose gloomy color palettes instead of Technicolor ones like Spider-Verse will never make sense. Ultimately, Spider-Man: Into the Spider-Verse is a shining example of what a superhero movie can be."
7,,"Over 140 animators combined computer animation with a hand-drawn style to mimic a comic book look. Inventive visuals, fresh storytelling and embracing the comic books' wackiness helped make the first non-white Spider-Man one of the best."
8,A,Spider-Man: Into the Spider-Verse was a fantastic film.  It is a great coming-of-age story that teaches us we are all unique and that’s what makes us great.
9,4.5/5,"What they have here is something special. Not only does it look unique, but it also feels very forward-thinking in terms of animation."
10,8.5/10,"The film works as a refreshing origin story for Miles Morales, and the filmmakers offer a unique visual style that's never really been seen before in a CG-animated picture."
11,3/5,But then you run into the storytelling – a frustrating swirl of highs and lows that shortchanges its most interesting component and emotional core.
12,3/4,"It manages to be more than the easy cash-grab it could have been by supplying audiences with something uncommon, both within the superhero genre and in the medium of animation."
13,6/10,"Generally speaking, it's an acceptable animated product of arachnid superheroes, but it doesn't seem as great as it's being marketed to me. [Full review in Spanish]"
14,A-,"It's the best animated film of the year, and one of the best movies of the year period."
15,,"Into the Spider-Verse isn't just the best of the character's origin films, it's right up there among the best Spider-Man movies ever made."
16,,"You may not think that you need to give your time to yet another Spider-Man movie, but you would be wrong. Spider-Man: Into the Spider-Verse expands the character into fantastic different directions and could be the start of something completely new."
17,,It's an absolutely delightful watch and one of the finest examples of the excitement and joy of which cinema is capable.
18,,I can't come up with enough superlatives to describe how much darn fun Spider-Man: Into the Spider-Verse is.
19,A,"A resoundingly successful experiment that will open countless doors to the weird, wonderful world of comic books."
20,5/5,"Spectacular, amazing, astonishing - whatever Spidey-related adjective you choose, it'll fit."
21,,"An audaciously, almost unbelievably alive piece of pop art made by people who really respect and understand the hope at the core of the superhero mythos."
22,5/5,"Spider-Verse manages to tell a comic book origin tale, a heart-warming family tale and a grand-scale multiversal threat tale and nails all three perfectly. More please!"
23,9/10,"This is not only the best Spider-Man movie that has ever been made, but it ranks on the top of the very own superhero genre. [Full review in Spanish]"
24,5/5,"Universal in its approach by leaving a beaming smile across your face, Spider-Man: Into the Spider-Verse beautifully reminds you why you love Spider-Man in the first place."
25,3.5/5,"Into the Spider-Verse ends on a whimper, but at least there's still something under all those masks. And you know what? I liked what I saw beneath those big, webby eyes."
26,4/5,"Major audience appeal both of the child and adult variety, it's a wondrous web-slinging caper."
27,B+,"It's a progressive, inclusion-focused film with a central message letting us know that we can all accomplish amazing things if we set our minds to it."
28,4/4,"Feels the most like a comic book than any other superhero movie to date, if for no other reason than it could only exist in a rendered space where a variety of animation styles could be brought together into a truly wild and electric journey."
29,4/4,"The best Spider-Man movie I've ever seen, period."
30,,Believe the hype. Spider-Man: Into the Spider-Verse is both the best animated film of 2018 and the best Spider-Man film ever.
31,,"Spider-Verse is a fast-paced, fun and fresh take on an origin story we all know so well ... The animation is amazing, combining different techniques ... to create a whole new graphical style we really haven't seen up to this point."
32,,Actually captures the sensation of getting absorbed in a comic book.
33,,"There's a perfect balance between humor and pathos, a regular stream of jokes occasionally intersected with moments of real heart."
34,,Impossible shots coupled with a breezy screenplay make this the most fun superhero movie since Sam Raimi shot an upside down Toby Maguire kissing Kirsten Dunst.
35,5/5,"Combined with the fast-paced action sequences and an energetic soundtrack, the film is a heady cocktail of entertainment."
36,,"It's a literal and symbolic passing of the torch, easily the best Spider-Man film since Sam Raimi's Spider-Man 2, and one of the best animated and superhero films of all time."
37,,Spider-Verse looks more like a gorgeous comic than a reproduction of a live action film.
38,,"It's fresh, it's funny without being snarky, [and] it's dramatic without an over-reliance on special effects."
39,5/5,"With a diverse cast and a vibrant, exciting world which feels fresh and different compared to what we're used to seeing in the genre, Spider-Man: Into the Spider-Verse is a silver screen Spider-Man classic."
40,,The movie vibrates with ambition and enthusiasm.
41,,"This first animated Spider-Man movie gives these filmmakers the freedom to expand the universe with more characters, humor, diversity and far more action."
42,,"Spider-Verse is a triumphant work of art that is beautiful to behold, that gets better with each additional viewing. It embraces the truly remarkable spirit that makes Spider-Man so popular and why he is so important to so many fans."
43,4.5/5,It's a bright and bold loving critique of the superhero genre and a much needed hard reset.
44,10/10,Now and again this seemingly endless conveyor belt of capes and criminals just occasionally really knocks one out of the park.
45,4/5,"Spider-Verse shows that there are no actual limits to superhero stories on the big screen, so long as they aren't tethered to how many Robert Downey Jr. quips they can fit."
46,5/5,"Geek or not, a great movie experience should not be missed. Spider-Man: Into the Spider-Verse is one such experience."
47,5/5,"I can't think of a better way to honor Mr. Lee as this film embodies everything about his creation, Spider-man."
48,A+,"Infused with the noblest parts of Stan Lee's legacy, this is a film where a talking pig and Nicolas Cage finally share screen time and where reductive fanbaby arguments about inclusivity are gently smothered beneath the Kingpin's love handles."
49,4/4,"Simply put, ""Spider-Man: Into the Spider-Verse"" is not Just Another Superhero Movie. It's a Marvel."
50,3/4,"The climax is perhaps one of the year's most sensational sequences, taking Into the Spider-Verse into another astral plane of superhero filmmaking."
