id,user_rating,review_text
1,3/4,"DiCaprio is coiled and edgy, Damon alternates between charismatic and creepy, and Wahlberg, stealing the show, somehow turns surliness into an endearing character trait."
2,4.5/5,"""Nobody makes a crime drama quite like Martin Scorsese, and The Departed (2006) sees his talent firing on all cylinders."""
3,4.5/5,"The Departed, directed by Martin Scorsese, boasts plot twists and is an Oscar-winning highlight of his illustrious career."
4,,Martin Scorsese’s adaptation of the Hong Kong thriller Infernal Affairs is as tough as a street fighter.
5,,"One of the best crime dramas ever made, The Departed is a riveting film capable of being watched repeatedly. The pacing, acting, and writing are all superb, but what did you expect from a Scorsese picture?"
6,3.5/4,...an overlong yet mostly engrossing thriller...
7,,"[Scorsese] turns the clever cat-and-mouse story of two rival informants scrambling to save themselves from discovery, into a star-studded mob opera spiked with grimy underworld detail and juiced with adrenaline and suspicion."
8,4.5/5,The movie that finally brought Scorsese gold (15th anniversary)
9,,"Violent (a Scorsese trademark) and energetic, the fast-paced, compelling story features terrific performances and surprising humor, especially in repartee between Alec Baldwin and Mark Wahlberg..."
10,,"Scorsese claims to be appalled by the violence in life and in his own films, yet he continues to glamorize sociopaths."
11,10/10,"Just might be Scorsese's most complex, well-balanced gangster flick."
12,,"While Nicholson steals the film's long set-up, the second half of The Departed becomes a psychologically taut battle of wits and nerves between Billy and Colin..."
13,5/5,"The Departed continues filmmaker Martin Scorsese's trend of making at least one motion picture masterpiece per decade--this time, winning an Oscar."
14,A,As entertaining as it is thought-provoking. This is among the very best films of 2006.
15,4/4,Like taking a master class in filmmaking and ensemble acting.
16,,An enthralling morality tale in which the mortality rate escalates in tandem with the tensions generated by its riveting narrative.
17,3/5,"The film elapses in a strange way, with the first 60% of the film feeling like an extended introduction with lots of exposition, leaving the last 40% as its conclusion."
18,4/4,"The biggest draw, of course, are the star acts: Caprio, Damon and Mark Wahlberg in particular are electric."
19,5/5,"Very violent, but very, very good."
20,,"If you like Scorsese, or if you just like thrillers, you'll have a good time."
21,,"Though the story is a corker of a premise, with detours into the perils of ambition and duplicity, you can't hope to become emotionally invested in these reputedly troubled souls."
22,,For 150 minutes The Departed delivers a visceral punch you're unable to dodge. It's the best American crime film since Michael Mann's Heat.
23,2.5/5,"It starts strong, but the development loses steam and narrative intensity, offering little. [Full Review in Spanish]"
24,4/5,"Scorsese proves he can just simply entertain. The Departed may be his most commercial film yet, but the fluidity of the camerawork, the intricate storytelling, and the exquisite tension leave no doubt that you're in the hands of a master."
25,,The definitive Boston Irish mob movie of our era was made by an Italian from Queens.
26,,"The legendary director successfully converts a tight little thriller into a grand opera, and it's the best work he's done in the last 10 years."
27,,The Departed is an example of a cinematic master seeking to live up to the veneration with which he is regarded by his pupils.
28,,"The dialogue crackles wittily and obscenely, and the set-pieces are superbly staged."
29,,Not only is The Departed not among the best of Scorsese's films; it's not even the best version of this film.
30,3/5,"Nicholson is on good-to-great form as the paternal brute, and lends an inimitable relish to certain lines in William Monahan's screenplay."
31,,"As in his remake of Cape Fear, Scorsese has mucked up a B-movie he professes to love: producing something full of twists but devoid of that lovely, fluttery, rare thing: surprise."
32,A-,"Smart, tough talk, and lots of it, drives The Departed."
33,,"It's a convoluted, rich plot that goes back decades, but The Departed is so sure-footed it all makes sense."
34,3.5/4,"There's a lot of tough talk from tough men in this testosterone-fueled thriller, as the thin blue line disintegrates amid gritty give-and-take in William Monahan's excellent script."
35,,"Plausible psychological scrutiny loses out to shot after shot of brains being splattered. And boy, do you get a lot of brains for your buck. It's just a shame they're all on the walls and not in the script."
36,4.5/5,"The Departed is a near-perfect synthesis of cinematic genius and commercial appeal, quite possibly the most accomplished and accessible film from one of the greatest living directors."
37,,"This crime thriller is a profane, blood-drenched joy to watch."
38,A,"Scorsese may not wish to be known only as a crime dramatist, but when it's something nobody else has ever done as well, why complain?"
39,,"Screenwriter William Monahan's taut, terse script, minimizes explanations of the many characters' backstory and conflicts, yet his brilliant dialogue crackles with savvy."
40,4/5,"Bloody, brutal and brilliant -- DiCaprio and Nicholson shine in the crime movie of 2006."
41,4.5/5,The shocking violence is well-placed. The action scenes are always comprehensible -- no jump cut cheats here -- and the suspense will make you fidget in your seat. What a corker.
42,5/5,The best of its kind since Michael Mann's Heat.
43,4/5,This is rich and satisfying stuff with Scorsese rediscovering his masterful skill at delivering a narrative which crackles with acid dialogue delivered by a gifted cast.
44,,The Departed has the sense of a 14-hour movie carved down to a fraction.
45,,"Every scene has it's purpose, every shot is meticulously used."
46,,"It's one of the year's best pictures. It's also one of Martin Scorsese's best. And when you think of some other films he's made, that's saying something."
47,,"Scorsese's film is a grossly over-extended 150, and -- despite its flashes of directorial genius -- it's no deeper (or more comprehensible) than the original."
48,3/5,As ingenious as it is artificial.
49,4/5,Nicholson's unsavoury grin and seedy menace are a joy to behold.
50,5/5,"Rude, profane, clever, hilarious, engrossing, crowd-pleasing, ridiculously entertaining."
