id,user_rating,review_text
1,5/5,"Keaton's genius lay not just in the nuts and bolts of invention, but in the creation of an endearing character."
2,,"... a masterpiece, one of the finest silent films ever made and one of the great film comedies of all time."
3,4.5/5,The Mad Max: Fury Road of its day.
4,3.5/4,It’s hard to imagine Buster Keaton without trains.
5,,Keaton shows signs of vaulting ambition in The General... That he fails to get across is due to the scantiness of his material as compared with the length of his film; he has also displayed woefully bad judgment in deciding just where and when to stop.
6,,Buster Keaton is brilliant in the film.
7,10/10,"All but required viewing for anyone with an interest in comedy, film, film comedy, history, film history, or historical comedy film."
8,5/5,The peak of silent cinema.
9,10/10,One of the greatest of all silent films.
10,5/5,"The movie is one death-defying stunt piece after another, and each is jaw-dropping by even today's standards."
11,,"The moments with the cannon, or that of the bridge - the most expensive gag in the history of cinema - are those that are not forgotten. [Full Review in Spanish]"
12,,"The General is one of the funniest, most ingenious, and gosh-darn exciting films you will ever see in your long and happy life."
13,4/4,"Artistic perfection. [February 19, 2019]"
14,4/4,"features gags that are as much artful exercises in stuntwork and timing as they are orchestrated attempts at humor, and the fact that they work so well as both is testament to Keaton's brilliance as a filmmaker and performer"
15,4/4,"Like the train itself, The General rarely ever slows down, barreling from one hair-raising (and frequently hilarious) set-piece to the next."
16,4/4,"Not just one of the greatest films of the silent period, but of all time, and arguably the greatest comedy ever made."
17,,The General...lets you see the result in luminous high definition.
18,10/10,"""The General"" explores man's tumultuous relationship with technology through the propulsive images and rushing emotion available only to the advents of cinema."
19,9/10,Keaton has great sight gags and goes to amazing ends to get the thrills he wants.
20,5/5,"In these times when all risk is assumed by CGI effects, Keaton's squealing funny, exquisitely timed, death-defying leaps are all the more breathtaking."
21,5/5,"The film boasts the most sustained passages of virtuoso slapstick genius Keaton ever shot, and an unflagging momentum that lets it get away with being a reel longer than most of his best-known pictures."
22,5/5,A hilarious comedy and a thrilling action film. The General has it all.
23,4/5,This is a silent film worth making a noise about.
24,5/5,A jaw-plunging blend of physical dexterity and bravura moviemaking.
25,A,"[VIDEO ESSAY] There was only one Buster Keaton. ""The General"" is his swansong."
26,A,One of Buster Keaton's most hilarious and most popular comedies
27,5/5,Silent masterpiece is enter-train-ment for all ages.
28,95/95,"he General is the highlight of his career's tragicomic performances, featuring not just the awe-inspiring stunts that were his bread and butter, but also a level of fluidity only he and Chaplin attained at the top of their games."
29,4/4,"Keaton proves as endlessly clever and athletic as his screen surrogates...chock-full of hilarious sight gags, including bits of business that incorporate moving trains, cow-catchers, a bear (and bear trap), and a misbehaving cannon. [Blu-ray]"
30,4/4,"The General isn't likely to be the favorite opus of the star's purist fans, but it's the one with the trappings of ambition and historical poesy"
31,,"Among the finest comedies of all time, it wears its greatness lightly."
32,5/5,"Spectacular chases, fires and explosions are captured with fluid camerawork. There are no stunt doubles for Keaton and of course no digital effects."
33,5/5,The birth of slapstick.
34,5/5,"Amongst the greatest of all silent comedies, The General isn't just important, it's bloody hilarious."
35,,The result is a flop.
36,,An almost perfect entertainment.
37,2.5,This is by no means so good as Mr. Keaton's previous efforts.
38,5/5,One of the greatest comedies ever produced. It is Keaton at his inventive best.
39,5/5,
40,5/5,
41,5/5,Silent classic is one of Keaton's best
42,5/5,
43,5/5,Keaton's genius has never found more perfect expression.
44,A+,"Begins with a single, brilliantly sustained premise and works it into an engaging story with edge-of-your-seat excitement and stunningly conceived stunts and sight gags."
45,,A picture which is neither straight comedy nor is it thrilling drama.
46,2/5,Vastly overrated; moderately charming but I think I laughed once.
47,5/5,
48,5/5,Perfection.
49,5/5,Keaton at the top of his form.
50,5/5,Keaton's most ambitious and one of his most rewarding.
