id,user_rating,review_text
1,,Chaplin’s iconic speech at the end of the film is only too relevant nowadays.
2,,"What is Chaplin’s peculiar gift? It is his power to stand for a sort of concentrated essence of the common man, for the ineradicable belief in decency that exists in the hearts of ordinary people, at any rate in the West."
3,,... confronts the hatred and anti-Semitism of Hitler’s Germany in the days before America’s entry into World War II while lampooning the despots responsible.
4,,"It works wonderfully, but The Great Dictator will perhaps be remembered most fondly for Chaplin’s moving closing speech."
5,,For me the film contained one major error: the final speech... This finale is so blatantly out of harmony with what has gone before as to nullify much of the effectiveness of the preceding two hours.
6,,"It is not... the genius of Chaplin that permitted him to create The Great Dictator. It was nothing but that moustache. The Tramp waited for the right moment, did what he had to do, then escaped for all eternity with his facial hair intact."
7,4/4,"Chaplin beckons the viewer to recognize and fight against tyrants, and every few years, as another despot comes along, The Great Dictator becomes achingly relevant again."
8,4/5,Charlie Chaplin's first talkie became an example of an effective satire. One that was way ahead of its time. [Full review Spanish]
9,,Though The Great Dictator provides a good many laughs [it] merits serious consideration for the superior presentation of the message it is trying to put across to that part of the world where democracy is still a precious possession.
10,8/10,"More than the expected assemblage of skits, the film attempts to tell a grander, straightforward story, but utilizes too many subplots in the process."
11,A+,"The Great Dictator (1940) is director/actor Charlie Chaplin's first full all-talking (""talkie"" with dialogue) picture (in a film similar to the Marx Brothers' anti-war comedy Duck Soup (1933)) in which he delivered spoken lines..."
12,,The Chaplin masterpiece is a mecca of motion-picture art to which the industry's devout will make repeated pilgrimages in future years.
13,5/5,The Great Dictator may have been a bold piece of satirical storytelling at the time but the film has aged like fine wine.
14,,"Chaplin contrasts war's delusions of grandeur against traditional human values: truth, liberty, and justice. [Full Review in Spanish]"
15,,"The lessons remain, and the strength of his statement still inspires his descendants - professional or otherwise - to follow his example."
16,,The only trouble is that such perfect scenes as this are followed by more conventional passages which would be funny enough in an average picture but let one down in a film that deals so ambitiously with so great a theme.
17,90/100,"...a great movie because it works as a film, and because it is a document of courage and faith, the prime exhibit in Chaplin's humanist brief ... Dictator is a comedy, the work of a clown, but it is no joke. Chaplin had lethal intent."
18,,"The first full-blown talkie from the biggest star of the silent era, complete with a message that Chaplin couldn't have sent more loudly or clearly."
19,3.5/4,"While it is not the greatest of Charlie Chaplin's feature films, it is certainly his bravest, if not one of the bravest films ever made."
20,3/5,Stared evil in the face long before the rest of Hollywood even thought it was possible.
21,,"Chaplin is at his most profound in suggesting that there is much of the Tramp in the Dictator, and much of the Dictator in the Tramp."
22,81/100,"Despite the film's weaknesses, Chaplin's lampooning of Hitler is a moment of comic genius, complemented by Jack Oakie's ridiculously exaggerated portrayal of the Mussolini-like Italian fascist"
23,,"Like all major Chaplin works, Dictator was a cheaply, but methodically, made film, a cardboard act of humanist defiance, and, thanks to its purity of purpose, the cheesier the jokes get, the harder they land."
24,,It's when he is playing the dictator that the comedian's voice raises the value of the comedy content of the picture to great heights.
25,5/5,
26,B+,"Chaplin's film hasn't aged well, but in 1940 it was perceived to be original, bold and controversial due to its combination of slapstick satire of Hitler and agit-prop."
27,4/5,"Though the slapstick may seem tired now, there are moments of greatness."
28,,"So Chaplin may not have halted a war, but he still left us with more than just a funny movie."
29,B,Charlie Chaplin's first all-talking feature is a controversial one.
30,4/5,
31,A+,The Great Dictator mrite amplement de faire partie des lments cls du cinma.
32,4/5,
33,A+,"A fascinating, unprecedented spoof of Hitler, one of the few before WWII that dared to take him on."
34,3.5/4,"It is a funny film, which we expect from Chaplin, and a brave one."
35,5/5,
36,5/5,Un clsico
37,5/5,
38,4/5,"Charlie Chaplin's first talkie, made over a decade after the introduction of sound, stands as a brave and controversial piece of filmmaking."
39,,The film remains controversial to this day.
40,8/10,"...one of the few motion pictures of the day to stand up and be counted against the forces of tyranny and injustice, for which it must always be commended."
41,5/5,"Now that the waiting is over and the shivers of suspense at an end, let the trumpets be sounded and the banners flung against the sky."
42,5/5,
43,5/5,One of Chaplin's best.
44,5/5,"Flawed and yet brilliant as only Chaplin can be,"
45,4/5,
46,5/5,"O filme  recheado, de ponta a ponta, de cenas que entraram para a histria do cinema."
47,4.5/5,"Funny, beautiful, and chilling."
48,4/4,"It may be Chaplin's greatest work, even if it's not his most personal."
49,,Chaplin’s iconic speech at the end of the film is only too relevant nowadays.
50,,"What is Chaplin’s peculiar gift? It is his power to stand for a sort of concentrated essence of the common man, for the ineradicable belief in decency that exists in the hearts of ordinary people, at any rate in the West."
