id,user_rating,review_text
1,2.5/4,"""You are passionate … but you do not persuade."" That snatch of dialogue from Amadeus might as well be the slogan for Paul Thomas Anderson’s The Master."
2,10/10,"With its sordid humor and lack of heroics, The Master is likely to be viewed as a bitter tale about faith in American society, oscillating between pragmatism and profit. [Full review in Spanish]"
3,4.5/5,"The electricity between actors Joaquin Phoenix and Philip Seymour Hoffman is off the charts in this complex study of power, loyalty and contradictions. [Full review in Spanish]"
4,,"An intense, thoughtful and harsh film that shows the contradictions between people with a certain degree of power and those who have no power at all. [Full review in Spanish]"
5,,"In lesser hands, The Master might proceed as a satire of Scientology, the predatory charlatanism inherent to cults or organized religion and spiritual movements writ large. But Anderson...keeps the film rooted in incisive, character-driven storytelling."
6,,"The 2012 character drama, dealing with a world recovering from World War II, is a poetic epic."
7,,Tremendously enigmatic. [Full review in Spanish]
8,4/4,"There are moments where the visual textures and unbelievable performances leave us to percolate in Anderson’s world, and for that instant, we forget all else as sweeping camera movements pull us along, and Greenwood’s score sends goosebumps down our arms."
9,3/5,"Just as there were moments where I couldn’t take my eyes off the screen, there were also times when the story seemed to bog down in the deliberate pacing and slight self-indulgence"
10,,Hoffman conveys an emptiness that can only come from his character's awareness that he has made up that which he preaches.
11,,"PT Anderson seems less concerned with his characters being understood. They have always been arrogant, self-assured pricks. It's all about them pitted against one another for a dogmatic battle. There Will be Blood could have easily been called The Master."
12,4/10,Offers two fascinating performances by Joaquin Phoenix and Philip Seymour Hoffman ... but that's about it.
13,4.0/4.0,Far more interested in the cult of personality than it is in exploring any particular religious or spiritual path.
14,,"Anderson has sensitive antennae, but they are attuned at the moment to confused social layers and his haphazard approach does little to clear up the confusion."
15,9/10,Is a provocative masterpiece that has amplified my faith for the cinema of the master Paul Thomas Anderson. [Full review in Spanish]
16,,"A peerless performance by everyone, in front of and behind the camera, render it an extraordinary addition to Paul Thomas Anderson's oeuvre and an example of a director at the peak of his powers."
17,,"The seemingly dissonant performances of the leads yield an unexpected harmony, particularly in a scene in which the two men find themselves in adjoining jail cells, acting according to their opposite instincts."
18,7/10,"I would need a rewatch to really settle in on how I feel about The Master, but my initial reaction is that it's good. It's just not the masterpiece that his last film was."
19,4/4,"A bold, towering work that is as infuriating as it is masterful."
20,5/5,"At once an unauthorised, fictional version of the life of L. Ron Hubbard, and also the story of two men locked in a love they'll never fully express."
21,A,"Fueled by a transcendent performance from Joaquin Phoenix, this is a film that from a technical standpoint is as close to perfect as any I can remember in recent memory."
22,,The main thing is that The Master is so unlike anything else in its seriousness and so admirable in its vitality that one has to support it.
23,5/5,"A supremely orchestrated, Kane-like odyssey, Anderson's latest is remarkable for both its grandiose scale and paradoxical introversion."
24,2.5/4,Hoffman and Phoenix are at the top of their game -- given what little they really have to work with.
25,,It is silly almost beyond human endurance.
26,9/10,"The film has an odd quirkiness to it, which while giving it a unique feel makes it feel off-putting at first."
27,,"The Master is a perfectly articulated, perfectly plotted, perfectly acted depiction of the origin of a religion."
28,,"It is all so enigmatic and underwritten I felt rather shut out. A 'challenging' film is one thing, but one that actually slams the door in your face is quite another, as well as rude."
29,,"Epic in scope but also intimate, told in loving close-ups whose high resolution, like the processing to which Dodd subjects his followers, reveals the great scope and detail of its characters."
30,,"Towering standalone moments all, they are certainly impressive when first encountered, though they wobble perilously the longer one looks at them...It isn't a great film - but it has a great film rattling around inside it."
31,,"Anderson got a great performance out of Sandler, something I never dreamed possible, and he gets one out of Phoenix here. But for all the passion mustered by Phoenix, the final third of ""The Master"" grinds to a halt."
32,A-,"Hoffman's performance is beyond words, as always, but it is Phoenix's take on the animalistic nature of man that speaks volumes to the core elements of what makes the film such a devastating one to shake."
33,,"[The Master] is interested in consciousness more than conscience, which is why Anderson's camera roams so thrillingly. The man we're following experiences the world as a carelessly dropped string that had been wrapped about him and then whipped loose."
34,,...the first hour or so of the movie constitutes the finest filmmaking of Anderson's career-﻿﻿﻿go-for-broke virtuoso use of cinema as a medium.
35,,"It is, without doubt, one of the best films you'll see this year. (Probably, this decade.) Maybe even the best."
36,C+,"At least the performances, specifically from Phoenix and Hoffman, kept you engaged enough to want to finish the rest of the movie."
37,,"[Director Paul Thomas] Anderson has taken whatever he needed from the early history of Scientology. . .to create an intimate epic of irrational need, an inner history of cultish transactions reconfigured as a sorrowful and distinctively American poem."
38,4.5/5,The results [are] haunting.
39,,"Richly and evocatively shot with the stunning light contrast of seminal black and white films, The Master has the clout of classic cinema."
40,,"The Master is ambitious, grave, inventive, flawed, and best of all, it's a sad story about a very sad man."
41,4.5/5,"Joaquin Phoenix's performance is dazzling, the kind of effort we're lucky to see once every two or three years."
42,,"It's a singular vision, and the movie haunts."
43,A-,"There is so much spark here, so much to absorb, that the effect defies any picking of nits and just makes one grateful."
44,,It's a mess; it's pretentious; it is thundery with dismay.
45,C,A perverted sausage party in which Anderson fully indulges his obsession with male genitalia.
46,4/4,"The film never lags. It is too gorgeous, too expertly acted, and above all, too well directed and written. Nearly devoid of exposition, ""The Master"" unfolds seamlessly and naturally."
47,,"THE MASTER is challenging, perplexing, at times infuriating - and always thoughtful. Indelible. And always, always beautiful."
48,4/4,"by itself, gives lie to the idea that Americans don't make great, nuanced, complicated films. It's sublime."
49,4/5,"Paul Thomas Anderson's The Master is a challenging film, like most of his work. One that evokes a spellbinding performance out of Joaquin Phoenix."
50,3.5/5,"Despite sumptuous cinematography and sublime acting, Paul Thomas Anderson's latest film ultimately feels a touch pointless."
