id,user_rating,review_text
1,,"... a film of whimsy and wonder, mixing Jules Verne imagination with the bubble-gum colors of a children’s picture book and Pixar’s trademark bouncy humor, all stirred with memories of childhood dreams."
2,4/4,"Pixar’s clarity of purpose astounds. Flawlessly evocative, the film’s joys are so very joyful and the saddening moments ever so tender."
3,9/10,A perfect blend of visual designs and imaginative storytelling.
4,,"First Up gently tugs at your heartstrings, then it sends you soaring aloft."
5,4.0/4.0,An absolute triumph.
6,,"'Up' is an adventure from start to finish that... deals with many things that complement each other, making up a whole that would be impossible not to consider a masterpiece. [Full Review in Spanish]"
7,,There is not a moment in this film where there's not a smile on your face or in your heart...24 kt. Oscar gold.
8,3.5/4,"Here's a movie that ultimately goes to the dogs (Dug!), and it still deserves enthusiastic thumbs up."
9,3.5/4,"A perfect blend of humor and heart, mixed with rousing adventure and spectacular animation."
10,A,A delightful and touching experience that isn't just one of the best films from the studio -- it's the best film to date in 2009.
11,A+,Up is a perfect movie.
12,,"Yet, with the story perfectly setup for a classic adventure, the film quickly runs out of ideas and drowns in a series of sentimental clichés."
13,,"Truthfully, it was only the bird and the dog that saved me from bolting out of the theater. They rated some laughs."
14,3.5/4,"The geniuses at Disney/Pixar continue to elevate the art of the animated film with Up, their latest cinematic achievement."
15,,"With Up, Disney/Pixar continues to set the bar for animated features."
16,,"Up is funny, heartfelt, and never less than entertaining."
17,,"Whatever brainstorming session came up with Up allowed Docter and co-director Bob Peterson to grapple not only with old age, but with the kind of maturity rarely broached by cartoons."
18,A,"It's quite simply the best Pixar yet, seamlessly melding stirring emotions and thrilling adventure into a classic tale about letting go of the past and embracing the moment."
19,5/5,Up is breathtaking in its imaginative detail and astonishing in its emotional range.
20,4/4,I challenge you not to tear up.
21,,The first 10 minutes of Pixar's fantastical 3-D animated adventure Up are a sublime testimonial to the purity and magic of the cinema. I know because I was a sobbing basket case by Minute 11.
22,4/4,"There might not be a more dependable name in all of Hollywood than Pixar, and their tenth animated feature, Up, continues the studio's remarkable hot streak."
23,8.9/10,What makes Up such a satisfying film is the story of an old man deciding that he still has life left to be lived. And that life is an adventure.
24,B,"The glory of Pixar's films as that they touched on universal themes, all the way through, that just happened to also tickle kids. This one starts out that way, and then settles comfortably into being a kids film."
25,B,Quintessential Pixar.
26,4/5,Has more heart and soul in its tiniest pixel than most competitors' movies can boast in their entirety.
27,5/5,"The pacing is perfect, the animation looks terrific, the emotional range is wide, and there are a few sly jokes you might not catch the first time around. That's okay; you'll want to see it a second time anyway."
28,9/10,"As corny as it sounds, Up soars to new animation heights."
29,5/5,"No matter how you look at it, through the innocent eyes of a child or the wider, wiser worldview of an adult, the bright, buoyant Up brims with imagination, adventure, humor and heart."
30,,The most successful moments use screenwriter Peterson's rapid-fire witty dialogue and sight gags.
31,,"Everything else is up to the studio's usual standard, blending gorgeous and imaginative (but never gimmicky) animation with zippy storytelling, heartfelt sadness and laughs."
32,8/10,"You never know what you're going to get with this sort of thing, if people will sit on their laurels and bask in the concept or go to the effort of working out a compelling story. Luckily the folks at Pixar aren't known for taking the easy way out."
33,4/4,...an animated masterpiece...
34,4/4,"Adventure is about escaping death's closure, but it's also about clinging to life's openness - letting one escapade's end evolve into something new. ""Up"" is a tremendously affecting story of indomitable love, infectious spirit and embraced possibilities."
35,5/5,Has there ever been a bolder moment in a children's film than one in which the lead character essentially sets off on his final journey into the heavens?
36,,"There's much to make you laugh and cry, but the image that lingers is that of a gentle, bewildered man carrying his past overhead like a multicoloured cloud on a leash."
37,,"Funny and poignant and full of life, Up easily qualifies as one of the best movies of the year so far. Go with someone you care about."
38,3.5/5,"If Up has a fault, it's merely that it's following in the footsteps of Wall-E, which was possibly the best animated film of the decade."
39,,"The first from Pixar to be filmed in Disney Digital 3-D, Up looks and sounds great. The script is charming, touching and altogether delightful; the voice talent perfectly suited to the characters."
40,,Disney/Pixar's Up is a triumphant masterstroke for the studio and their Teflon reputation.
41,8.5/10,Up has much to offer kids but more to offer adults. We're so entertained we don't realize we're exploring tough questions. How faithful are we in the promises we make?
42,5/5,Don't be surprised if Up is sitting pretty atop our top 10 films of the year list come the New Year.
43,5/5,"Up is arguably Pixar's finest achievement to date, and is surprisingly mature (and moving) in its subject matter."
44,2.5/4,"Once the balloons make their grand, eye-popping entrance in a kaleidoscope of color and texture, the film becomes chaotic and silly, and coasts downhill for the remainder."
45,85/100,One of Pixar's most emotionally satisfying creations.
46,A+,"Pure joy and one of the best films of the year. You gotta have a good story, and this one is a gem. It even made a bit misty-eyed. Good stuff from Pixar. Paul Chambers, CNN."
47,A-,"...if you've ever wondered what kind of jokes dogs would tell if they could speak, here's your chance."
48,4/4,An instant cartoon classic coming courtesy of a successful collaboration by the good folks at Disney and Pixar.
49,,"Filled with wonderment and intrigue, it tells a timeless tale of adventure and aging that touches on almost every emotion."
50,,Maybe movies are getting worse or maybe Pixar is getting better or maybe it's a combination of the two - but Up is one of the year's best.
