id,user_rating,review_text
1,,Stanton directs a masterpiece that is to behold forever among the greatest animated films.
2,,Clever and endearing. I would not call this essential viewing but I enjoyed it more than I expected.
3,,"The tale of a trash compactor from the future who's desperate for connection isn't just one of Pixar's unlikeliest successes, but its most arresting and prescient."
4,4/4,WALLE stands as the studios crowning achievement.
5,9/10,"Gorgeous visuals, unmatched animation, and wondrously moving scenarios mask a relatively simple story of love."
6,4.0/4.0,"Hollywood gets it right and kudos go to Pixar/Disney for the beautiful, touching, funny, and unforgettable Wall-E."
7,5/5,A charming love story of two lonely robots surrounding a satire of consumer culture. Strong stuff.
8,5/5,WALL-E is one of the best animated films of the century.
9,B+,A delightful family film full of wonder and plenty of heart.
10,3.5/4,"Ultimately, WALL-E is about nothing less than one of the tenets of human existence: the need to find a partner with whom to share life's experiences."
11,4/4,"A sweeping, glorious spectacle that never loses sight of its heart or the simple, heartrending love story at its core."
12,A+,One of the most gorgeous animated films ever made- CG or 2D.
13,2/5,"Wall-E is near the top of the list of films I call ""friendship killers."""
14,,Wall-E is Chaplinesque in the worst way.
15,,It's an eclectic and often quite daring mixture of elements-yet it all coheres wonderfully.
16,,"Much of the film is wonderfully imagined, and there is something utterly winning about this tin can topped with binoculars... It's just a shame that, at the end, it trips itself up with its own SENTIMENTALITE."
17,,"Although the title character's arc is juxtaposed by the troubling dystopia on the Axiom, it nonetheless brings light to both Pixar's gloriously unique protagonists and real-world issues."
18,,"Although Wall-E ends with a very apt and moving nod to City Lights, it is in fact Pixar's answer to Modern Times-both a bravura summation of everything the studio is great at and a ""You ain't seen nothing yet!"" statement of purpose."
19,,"If Wall-E has anything original to say, it takes place in the first 30 minutes on a planet heaped high with junk. But the parallels between fiction and reality are almost too painful to contemplate."
20,,"Yeah, Pixar movies are usually good, but this one's unimaginably great."
21,A,Wall*E is poised to take its place alongside other Pixar instant classics.
22,3.5/5,To carry the film for as long as it does with virtually no dialogue... that's to me the magic of animation.
23,4/5,Director Andrew Stanton has pulled off a remarkable achievement here.
24,5/5,"The latest entry in the Pixar stable is a modern classic - both an animated thrill ride, and a chilling tale of lost humanity."
25,,"It indeed feels 'new', moving out of Pixar's comfort zone while retaining the brand's populist virtues: loveable characters, crafted jokes, aw-shucks niceness and wonderful images."
26,,"We've come to expect brilliance from the digital wizards at Pixar, but WALL*E is pure genius."
27,,"WALL-E dazzles, particularly in its magnificent first half-hour, a post-apocalyptic love-story in miniature that serves as a graceful introduction to the intergalactic journey that follows."
28,4/4,"Can Earth be reclaimed? The answer's a hopeful one (more Spielberg, less Kubrick), perfectly in toon (ahem) with the tale of a rickety old PC who wins the heart of a Mac."
29,,Much of the joy here comes from the aesthetic clash between the metallic sweethearts.
30,4/4,To see these ideas delivered so profoundly speaks volumes to the power animation possesses in cleansing minds weathered by the cynicism of adulthood.
31,5/5,This is a movie with genuine heart.
32,,"As a film critic who has spent too many summers viewing mediocre misfires and uninspired reinterpretations of TV shows, comic books and cult classics, it's immensely satisfying to recommend something as breathtakingly glorious as WALL-E."
33,5/5,"Pick any 24th of a second, frame it and you could hang it on a museum wall."
34,4/5,WALL-E sparks with genuine creativity.
35,5/5,"I wonder a little what kids will make of the long silence of the first half followed by the disorienting mania of the second, but there's nothing here that's not wonderfully imagined and lovingly presented."
36,5/5,"It's a breathtaking, inspirational film, transcending the medium of animation and blossoming into a genuinely magnificent piece of cinema."
37,4.5/5,This film deserves the Oscar. It deserves every Oscar. And a Nobel Prize for brilliantness. And I bet it would win it too if I hadn't just made it up...
38,9/10,"It's not often that you find 'post-apocalyptic' and 'delightful' going together in the same sentence, but they're essential to describe the deceptively artful Wall-E."
39,4/4,"Some found ecological undertones too scolding. But the question of what happens to trash is a nice undertone - never overshadowing the endlessly renewable entertainment of ""WALL-E's"" plucky protagonist & carefully, comically choreographed physical humor."
40,,Captivating
41,,"That it ultimately falls short reflects less a failing than a raising of the bar: when you aim this high, you can beat all the competition even if you fail to set a new world record."
42,,Vastly overrated movie with all the charm of two vacuum cleaners making love.
43,A-,Disney-Pixar's greatest film yet; one of the ten best movies of 2008
44,,"Ladies and gentlemen: believe the buzz! WALL-E is a bona-fide, all out masterpiece."
45,3.5/4,...flat-out thrilling in its uniqueness...
46,82/100,"Not about high profile characters or big action, it delights by entertaining and inspiring more subtly. Who expected that from any movie these days, let alone an animated one?"
47,,"Simplicity and complexity harmonize together in cinematic zen in the instant-classic WALL-E, a film that uses technical prowess to tell a straight-forward yet far-reaching story."
48,,"The most ambitious, visually-breathtaking film from the animation stable to date, pushing family entertainment to new limits of thoughtfulness and imagination, and offering unprecedented challenges to young minds."
49,,The most consistent production unit in Hollywood just hit another home run.
50,A-,"Among its many wondrous achievements, the animated WALL-E is a sci-fi trifecta: a vision of the future, a tale for our times and a blast from the past."
