id,user_rating,review_text
1,4/5,"It’s unapologetically stark in its portrayal of violence, grief and corruption. But it’s also endlessly entertaining thanks to McQueen and Flynn’s talents, as well as the complexities of the characters and their wonderful performers."
2,4.5/5,"Elegantly blending its Oscar-worthy script with entertaining moments that lead to an explosive finale, Widows is sure to satisfy audiences of all types."
3,3/5,"..as a sociological document, Widows doesn’t quite offer enough critique to gel, but as a Saturday night all-star action movie, it ticks all the right boxes..."
4,,"Widows is a deconstruction of a heist movie, taking the genre to new and exciting heights."
5,,"Whether intimate and quiet or dynamic and deafening, scenes are staged with precision and vitality. For many, McQueen’s stylishness will help excuse the rubbery plot holes, lapses in logic and farfetched surprises..."
6,,The incoherence doesn't detract from what's a mostly entertaining movie.
7,3.5/5,"“Widows” may frame itself as a heist movie, but it can hardly be put in that box. McQueen has a much broader aim, and his film touches on a lot of different things."
8,3/5,"While Widows is a well-made thriller with a handful of good performances, one can’t help but question a plot that relies on completely random long-shot occurrences that bring the story together."
9,,"There’s no glamour here. No glittering red carpet wish fulfillment. This is a Chicago-set, blood-sweat-and-tears-soaked caper upon which lives depend."
10,4/4,"McQueen has found a wonderful balance between his arthouse stylization, his mannerist craft, and something altogether new for him, making Widows rare indeed - an accessible work of art."
11,,"One of the years best pound-for-pound genre films, Widows is one of the most exciting, bare-knuckled heist thrillers to come along in some time."
12,,"The twisty-turny plot gets a little in the weeds, but the performances, including assists from Daniel Kaluuya and ​​Brian Tyree Henry, see it through with flying colors."
13,58/100,Episode 18: The Danse Macabre
14,4/5,"[A} power tale of women taking charge where men fail, but really a study in situationism, what each of us is capable of given the set of conditions."
15,4.5/5,[Steve McQueen] elevates what could have been a more procedural and generic thriller in another's hands to an emotionally engaging and thought-provoking thriller.
16,,"I'm not convinced that McQueen's successful at every single thing he tries to address, but I give him credit for his ambition."
17,4/5,"A stylish art house heist flick that layers intrigue andsocial commentary about racism, the cost of political power and the imbalance of power between the female characters and their male counterparts. The thrills will appeal both to your heart and head."
18,,An action movie about the mafia with a very original point of view [Full Review in Spanish]
19,,"McQueen's Widows is unconventional, builds its story with unique chess moves, and carries a style that grabs your attention."
20,4.5/5,"Widows is a nail-biter and suspenseful until the very ending. After it was over, I wanted to experience that ride all over again."
21,4/5,"Yet if the story's political, racial and gender subtext sometimes acts as a drag on the action, it gives the film a depth and richness other films of the genre often lack."
22,,A pitch-perfect demonstration of an auteurist director demonstrating his singular vision in a more mainstream canvas.
23,3.5/4,"""Widows"" resembles an urban expose like ""The Wire"" more than a caper romp like ""Ocean's 8."" It's much tougher, grittier, literally a matter of life and death. Tone is everything in a movie and, in this one, McQueen sticks to it brilliantly."
24,5/5,"It's a rare experience when you watch a film that you didn't want to end, and it's not every day where I call out something that merits five stars. But this is a five-star film, continuing McQueen's outstanding record in filmmaking."
25,4/5,"McQueen plays gleefully with all the genre's tropes, from double crosses to training montages, subtly rewiring the interpersonal relationships and motivations, all while two of the women juggle childcare."
26,3.5/5,"Widows does a generally decent job at keeping its pace up for most of the film, but it can be occasionally dispiriting for some of its meatier themes to fall by the wayside."
27,4/5,"Gritty and ferocious, McQueen has you rooting for these ladies from the get-go, you feel invested in the story from the very beginning."
28,,Widows is an instant crime classic.
29,8/10,"The heist itself isn't all that clever, but the way the plot slowly unfurls is both brainy and emotionally intense."
30,3/5,The cast makes up for most of the missing pieces.
31,3.5/4,"It's a genuine pleasure watching all of these talents work together in various combinations, moving through this layered, well-structured story. Widows is easily one of the best films of the year."
32,,I hesitate not a whit in calling Widows the most satisfying heist film of the year.
33,,"An incredibly well-made, taut and realistic heist thriller. It's not a fun romp the way the Ocean's series, and others cut from that cloth, tend to be. This is a brutal film that pulls no punches."
34,6/10,"It is a gloomy, violent film, but it can also be boring. There are excesses that inevitably take their toll. [Full review in Spanish]"
35,,"While the sound and fury produced a robust response... the end result felt to me like a second-rate Elmore Leonard crime caper, a little too fanciful to be either top-drawer drama or stirring feminist tale."
36,,Everything about Widows works. There's just no resisting it.
37,,"McQueen sets a relentlessly portentous tone and employs lots of stark mise-en-scene, but all the fuss feels arbitrary here - the pulpy story simply doesn't warrant such grave stylization."
38,,McQueen's version of 'Widows' offer more than a straightforward heist film. There are dirty politics and family struggles being played out.
39,A,Podcast review
40,,A heist movie elevated by layers of empathy and complexity.
41,4/5,"Widows is uncompromising, visceral and surprisingly thought-provoking."
42,8.5/10,Widows is an exciting and suspenseful heist thriller that proves itself to be about much more than just the heist itself. It's a stinging social commentary on modern-day America that is backed by powerful performances.
43,,"[T]his genre piece is much more than most of its pulpy brethren showing up in movie theaters and it's refreshing to see such vivid characters, as well as such stinging commentary on racism and sexism on display in a thriller."
44,,Seeing these actresses work together turns the heist caper genre on its head and provides one more reason why this year is the year of the woman.
45,,"Every day, women are robbed of respect, independence and opportunity... but Steve McQueen's thriller satisfyingly shows them taking it back."
46,,"As much about class, race, politics, and privilege as it is about heists, Widows presents a fallen world where thievery is just part of life."
47,4.5/5,Widows boast the best cast of the year and is sure to be that rare film that bridges the gap between arthouse and mainstream.
48,4.5/5,"The plotting is also clunky at times and not much of the action is plausible, but with these astonishing performances, the flaws almost don't matter."
49,4.5/5,Davis is masterful as the strong leader of this resilient group of women and Rodriguez and Debicki match her in every scene.
50,3/5,Viola Davis says more with her inner smoulder than many actors manage with the proverbial thousand words.
