id,tomato_score,review_text
1,positive,"The rare absurdist-realist intimate epic, Aguirre is an impossible-to-recreate fever dream of power-mad colonial gold-lust run amok."
2,positive,"…you’ll come for the jungle vistas and Peruvian-pan pipes, but you’ll stay for the intensity of the drama as Aguirre, The Wrath of God demonstrates why Werner Herzog’s film is still a benchmark for barnstorming cinema…a truly unique, epic adventure movie…"
3,positive,"At once poetic and brutal, dreamy and nightmarish, beautiful and hideous."
4,positive,"It's a descent into madness as vertiginous as Heart of Darkness, and a portrait of futility as monumental in its irony as Shelley's Ozymandias."
5,positive,"Never has human folly seemed so vivid, rapacious and primeval."
6,positive,Cosmic objets d’art...
7,positive,"Aguirre, the Wrath of God shows Herzog's mutual affection and abhorrence for Nature, how it remains ambivalent to human desire and cruel to our often maniacal ambitions."
8,positive,I love how Herzog uses the Spanish characters to point out how absurd their conquest is.
9,positive,"In the lead is Kinski, with such an unfathomably potent screen presence that all he has to do is stare to evoke dread, as his character grows more delusional by the minute."
10,positive,"There are some filmmakers who do the work as a job, others because they simply enjoy it. Herzog does it because it is ingrained in his very being."
11,negative,...an irrelevant and sporadically interminable piece of work.
12,positive,"Aguirre is a compelling piece of historical fiction that lingers in the memory largely because of its lush, claustrophobic atmosphere and the towering presence of Kinski."
13,positive,"His Spanish conquistadors were no match for the natural splendor and terror of the Amazon, but Herzog was, and he conquered cinema."
14,positive,"Aguirre, The Wrath of God is not just about a group of fifteenth-century explorers but is a poignant reflection of the world we still live in."
15,positive,"""Aguirre, The Wrath of God"" leaves you feeling as if you are watching a documentary rather than a fictionalized drama. In some ways, what you are seeing is nothing short of the absolute truth."
16,positive,Idiosyncratic visionaries don't come any more idiosyncratic or visionary than Werner Herzog.
17,positive,Herzog's riveting Brechtian epic about a catastrophic expedition across the Andes and down the Amazon in 1560 is arguably his best work ...
18,positive,"The whole movie merges landscapes and character with such force that, once seen, you never forget it."
19,positive,"Herzog's vision of man disregarding nature and bringing about his inevitable demise is an intoxicating one, and one that demands to be revisited through this wonderfully restored print."
20,positive,"It looks more magnificent and mad than ever, one of the great folies de grandeur of 1970s cinema, an expeditionary Conradian nightmare like Coppola's Apocalypse Now."
21,positive,"A journey down river to the mouth of Hell, but also so much more."
22,positive,"Made for buttons, it's an awesome feat of filmmaking."
23,positive,A classic that screams to be seen on the big screen.
24,positive,Ramshackle chaos and insanity.
25,positive,"A visionary work, Aguirre is one of Herzog's greatest achievements."
26,positive,"An essential hallucination, subsequently mined by Coppola, Weir and Malick but unsurpassed in its vision of the withering yet liberating madness beneath our armor"
27,positive,This 1972 German film eschews narrative for hallucinatory images and long takes that plunge you into the whirlpool of the main character's madness. It's less storytelling than a visually disturbing fever dream.
28,positive,"The acting is properly larger than life, especially Klaus Kinski as the title character, a lean, driven but imposing man who has heads lopped off when in any way interfered with in his task of destruction and exploration."
29,positive,Potheads who watch this will probably check their stash the next morning to see if any of it's gone.
30,positive,A seminal film without which we almost cerainly would not have with us either Apocalypse Now or much of the ouevre of Terence Malick.
31,positive,"Aguirre, Wrath of God is not just a great movie but an essential one."
32,positive,A saga of adventurers driven headlong into annihilation by their own hubris and desire for immortality.
33,positive,Takes us into a visually stunning and surreal Heart of Darkness adventure.
34,positive,"There is a lingering voodoo in the movie that never lets you forget the folly of man's puny sins against a dark universal order of which insanity, sickness, and death are the inevitable symptoms."
35,positive,"[A]n anti-epic about European conquest that, while based in part on ... an ill-fated historical expedition, is as macabre as a Poe story."
36,positive,
37,positive,It's a testament to the genius of Aguirre: The Wrath of God that its genesis has spawned its own creation mythology.
38,positive,
39,positive,Extraordinary adventure in the Andean jungles
40,positive,
41,positive,
42,positive,"One of the pre-eminent achievements in world cinema, as far as I'm concerned."
43,positive,This is a splendid and haunting work.
44,positive,"Depicted conquistador Gonzalo Pizarro is driven, pompous, and partially ignorant - traits mirrored in director Werner Herzog for leading his crew into identical endurances. His resulting work is a vision of rare audacity."
45,positive,
46,positive,
47,positive,
48,positive,Features one of the strangest and most impressive performances in film history.
49,positive,"Quiet and atmospheric, creepy and grisly, drenched in both equatorial sunshine and scarlet blood -- the film is startlingly powerful as it subtly examines themes of imperialism, corporate greed and ultimately personal madness."
50,positive,"Herzog's finest film...one of the great, mad visions of cinema."
