id,tomato_score,review_text
1,positive,"Filming twice a year while sculpting the details of the screenplay, Linklater somehow captured the fundamental grief of the parenting experience."
2,positive,Boyhood was an incredibly risky project but the end product feels so genuine...
3,positive,Boyhood is one of those rare experimental films that manages to achieve exactly what they were looking for through that experiment. [Full review in Spanish]
4,positive,What makes Boyhood this extraordinary experience and achievement is the opposite of that adjective: the ordinary.  Linklater and company sought to deliver a genuine interpretation of a life experience without flashy movie bells and whistles.
5,positive,Boyhood captures the importance of the commonplace and how it’s the endless procession of relatively inconsequential events that most shape our lives.
6,positive,"Boyhood is, logistically speaking, a bit of a miracle."
7,positive,"I’m happy to be basically all in for the film, but that’s turned out to, predictably, be a little prickly..."
8,positive,"...it’s hyperbolic in its minimalism and boring in spots and its overall narrative reach often exceeds its grasp. Even still, it’s one of the most important movies of the decade so far and you should experience it just to say you did."
9,positive,"The film had me looking back on my own childhood, but also thinking about my 13-year old son and the life he is living. Walking out of the theater I wanted to hurry home, give him a hug, and tell him that I loved him."
10,positive,"Inside this beautiful, simple, and ambitious film is an almost documentary quality to truth that, despite the film's lack of traditional plotting, engages the viewer in an indescribable way."
11,positive,"Linklater did the unthinkable, which is to capture our collective youth on film so that we may be able to relive it over and over again."
12,positive,"The best feature of Boyhood is that it derives beauty, joy, and emotion out of the ordinary lives of people."
13,positive,It's a beautiful coming-of-age tale that boasts as strong an ensemble as can be and completely nails what it meant to grow up over the past decade or so.
14,positive,The magnum opus of one of the most creative directors of the past three decades is also perhaps the ultimate coming-of-age story.
15,negative,"It's not you, Richard, it's me - we'll more specifically it's us. We clash. We're like an acoustic guitar dipped in peanut butter, you and me, Richard Linklater."
16,positive,"Boyhood exudes a verisimilitude seldom seen in cinema, an open-ended, fly-on-the-wall naturalness that appears unscripted."
17,positive,"Still, Linklater's optimism is still very much American and it annoys me sometimes for a fact that we never see Mason cry or having a real tragedy in life. But I also understand it's called Boyhood, not Boyz 'n' da Hood."
18,positive,"The production of the film was something of an experiment, and it is a tribute to Linklater's strong feelings about human beings and the essential humaneness of the project that it succeeded."
19,positive,"A remarkable film but not a perfect one. At almost three hours it occasionally feels aimless, but as a chronicle of life it's an ambitious undertaking, a moving experience about the individual moments that make a life."
20,positive,Boyhood is a moment of cinema that cannot be duplicated.
21,positive,"By the end, it's basically just a documentary."
22,positive,It is most certainly a rarity when ambition is met by remarkable achievement.
23,positive,"The simplicity of story in Linklater's Boyhood, following the not-overly eventful life of six-year-old Mason till he leaves home for college as a teen, is an incredible cinematic achievement."
24,positive,Boyhood is a film not for everyone...Curiosity is probably the main reason why you would watch it. However I respect its intentions and it's a skill that only director Richard Linklater could pull off.
25,positive,"A beautiful, unique coming of age story recorded and shown like you've never seen before."
26,positive,"Only a man of Linklater's unique talent could have pulled it off, and succeeded so well, making cinematic history."
27,positive,This is a coming-of-age film that will pass through generations and will live its trick in the eternity of masterpieces. [Full review in Spanish]
28,positive,The year's best fiction epic...
29,positive,It's terrifying. It's heartbreaking. Boyhood catches that perfectly.
30,positive,"Stylistically, Boyhood is exceptional, and Linklater's foresight with technology and culture is something to be revered."
31,positive,"A seamless portrait of childhood, adolescence and parenting that is at times arresting and aggravatingly uninteresting."
32,positive,Coming of age.
33,positive,"It's so epic in scope, but extraordinarily intimate in its storytelling."
34,positive,"Boyhood isn't a masterpiece because of its approach. It's a masterpiece because, in the space of one viewing, it redeemed an entire genre for me and made me feel specific emotions I haven't had since I was just a teenager."
35,positive,It is a fearless experiment by one of the most groundbreaking directors of our time.
36,positive,A true honest-to-goodness landmark that will be looked back on for years to come as one of the defining films of our time.
37,positive,This was so bold and so different.
38,negative,"Boyhood is a good film, and the experience of watching its cast age over 2 and a half hours makes for a unique experience. It's just that, considering all the effort put into the film, ""good"" feels disappointing in this case."
39,positive,"It is an incredible film; a power walk through the chapters of childhood and adolescence, an epic poem of candid photographs sellotaped together with strips of sticky, sugary nostalgia."
40,positive,"Only a sliver of every frame of this film is ""fiction,"" and sometimes it seems the least important part."
41,positive,"Linklater's script eloquently captures the ordinariness of life, his ability to extract first-class unforced and natural performances from his cast and said cast's wholehearted commitment to the project."
42,positive,"A once-in-a-generation-type film, a groundbreaking endeavor that is impressive on every possible level... I really would like to visit these characters again at some point again in their lives because it feels like you are part of the family."
43,positive,Boyhood spanned everything and nothing in 2014's most joyous examination of the passage of time.
44,positive,"[A] soul-bearing, intimate and genuinely uplifting...once-in-a-lifetime coming-of-age film. Epic is an understatement."
45,positive,"The filmmakers spent 12 years making it, so it's only fair that you give three hours to experience it."
46,positive,"Like Michael Apted in his Seven Up! documentary series, Linklater makes you feel as if you're watching a photograph as it develops in the darkroom."
47,positive,"Boyhood may be about Mason's life, but it's also telling mine, and perhaps yours too; it may revolve around a boy, but no child, or adult, is excluded."
48,positive,The idea of stepping into someone's life in movies is the root of entertainment and this is as close as it comes. Linklater's exquisite film is a heartbreaker and it's joyous but at its heart it's someone's life in all its aspects.
49,positive,"Watching Mason change over the years is gloriously authentic, but most of the change is external; his character never shifts very far from the small boy who liked to stare out the window all day."
50,positive,"Despite its faults, ""Boyhood"" is compelling in a truly authentic way, even if occasionally I felt I was truly living through those 12 years in real time."
