id,tomato_score,review_text
1,positive,"It's intoxicating to watch Seo-rae slowly peel back the layers throughout her journey, and you'll be seduced just as Hae-jun is."
2,positive,"One might not find the tongue-cutting charm of Park’s other works in DECISION TO LEAVE, but the film presents a different emotion for us to taste-test: the sort of romantic sweetness that makes us want to rip the skin off our face in devastation."
3,positive,"Although this is a story of murder and death, it is also one of tenderness."
4,positive,"While this mingling of crime and romance plots reveals the stern policeman to be a fundamentally fallible person, it also underscores the problems inherent in police work."
5,positive,Director Park weaves many clever motifs and symbolic imagery into his film to heighten the tension and keep up the storm of anxiety as the characters’ clashing duties and wants threaten to finally meet.
6,positive,"It’s a tale told in yearning glances and whispered half-truths, one where the words “I did it” and “I love you” always seem to be just out of reach."
7,positive,"Unlike once great directors whose vision becomes stale, repetitive, and predictable, Park is always raising the bar for himself and setting the new standard for those behind him. His work is always fresh, and I love that he keeps pushing himself"
8,positive,"In a tender cat-and-mouse game, Park Chan-wook plays around with his favourite themes of a forbidden romance at the intersection of a murder mystery."
9,positive,"It's admirable how Park Chan-wook states that violence is expressed in different ways. In this case, it will be neither guns, nor blood, but love, which will stain the retinas of the viewers with red. [Full review in Spanish]"
10,positive,Park Chan-Wook’s police procedural is one of the most romantic films ever made.
11,positive,Park Chan-wook takes a classic tale of star-crossed lovers and gives it a new spin in this murder-mystery romance saga of a detective falling for his suspect.
12,positive,A sequence of Hae-joon and Seo-rae eating a premium sushi dinner in an investigation room and then cleaning it up as they have done it together all their lives might be the sexiest scene of the year.
13,positive,"Park manages to invoke the styles of Wong Kar-wai and Alfred Hitchcock in the same breath. A mix of film noir and sensual love story, a tale of revenge and violence neatly tied together with love."
14,positive,"Decision to Leave has Park Chan-wook’s signature brutality and sexpionage, but they’ve been placed in the background, focusing instead on the tender romanticism that is as explosive as the violence."
15,positive,"Decision to Leave has the South Korean director at his most restrained narrative-wise, yet that doesn’t affect the prowess of his directorial abilities nor the thematic expansiveness of the story at hand."
16,positive,Style is the name of the exposition game[....] What’s a little murder in the face of true love?
17,positive,Cinema at its purest with subterranean emotions simmering underneath the story. [Full review in Spanish]
18,positive,"Chan-wook Park achieves an extraordinary resolution, combining natural elevations and intimate abysses with lyricism and profound beauty. [Full review in Spanish]"
19,positive,"By the time it works its way to its tragic conclusion, Decision to Leave has spun a fully immersive web of romantic intrigue that demonstrates without doubt that Park is just as good in a restrained mode as he is when he lets it all fly."
20,positive,"Its crawling pace and repressed emotion can be stifling at times, though, and the movie's second half deliberately repeats elements of its first, which makes for a long, winding road along which we confirm our worst fears about everybody involved."
21,positive,"Park Chan Woo wraps the mystery in sumptuous visuals, ranging from his attractive looking stars to locations in the Busan area, including scenic beach fronts and a mystical temple."
22,positive,A detective thriller noir that tries to get you to feel something for its flawed protagonists. But they’re a little too quiet.
23,positive,"Park Chan-wook gives us the most romantic movie of 2022, about insomniac homicide detective Jang Hae-jun (Park Hae-il) who becomes obsessed with caregiver and potential mariticide candidate Song Seo-rae (Tang Wei)."
24,positive,This stylish romantic melodrama doubles as a gripping murder mystery in which the procedural and emotional elements blend seamlessly.
25,positive,"It’s got everything one would want in a neo-noir… gloriously-shot, stylish, romantic, and mysterious, with a shocking finale I didn’t see coming. Certainly one of the best of 2022."
26,positive,Park Chan-wook certifies with this splendid film an uncomfortable truth: the purest form of romance is the kind that guarantees the impossibility of consummating that love. [Full review in Spanish]
27,positive,"A film that seems to be based more on concepts of romance than on American detective or noir cinema, and that has a structure that could tire some. Full review in Spanish."
28,positive,"The ending of this crazy star-crossed love story is even crazier than the rest of the plot, and that's very hard to do."
29,positive,"A dazzling neo-noir capable of moving with enormous virtuosity by a visual language that appeals to the 21st century, ruled by its pirouettes and digital layers, without losing classic noir tradition and its eternal stereotypes... [Full review in Spanish]"
30,positive,"Yes, it's dense. Yes, you may feel empty after viewing. Yes, the characters could solve their problems simply by speaking two lines at the opportune moment. But cinema isn't logical. [Full review in Spanish]"
31,positive,"A glorious film that lies between the impetus of love and death, mystery and romance, that takes us by force from the precipice to the depths with a blow of dark and tragic rapturous lyricism, as beautiful as it is wounded. [Full review in Spanish]"
32,positive,Decision to Leave is above all a film about language; between people and images. [Full review in Spanish]
33,positive,"... A suspense machine, a captivating thriller at the service of a doomed love obsession. [Full review in Spanish]"
34,positive,"Park Chan-wook's most elegant and mature film to date, Decision to Leave reinvents noir and dresses it up with a romance that's both obsessive and moving. [Full review in Spanish]"
35,positive,"I miss sick and twisted Park Chan-wook, but if being more restrained gets him wider acclaim and Oscar nominations, I hold no resentments."
36,negative,Park Chan-wook is exploiting the two elements that middlebrow American audiences love—sex and plot trickery.
37,positive,"The way Chan-wook manipulates characters within space and time here is visually stunning, and when combined with one of the year's most perfectly matching musical scores it creates a deep emotional connection to the film's romantic duo."
38,positive,"How should I say this? Reminiscent of Hitchcock, the tone is seamless, the performances by Park Hae-il and Tang Wei are flawless, and the storytelling is addictively satisfying and engrossing."
39,positive,This twisted romantic thriller from Park Chan-wook features a knockout performance by Tang Wei as a Chinese immigrant to Korea and Park Hae-il as the police detective who’s assigned to investigate the death of her husband.
40,positive,"A Hitchockian labyrinth that keeps you guessing until the end with its knotty, twisty narrative—pushing and pulling characters through relationships with each other and with the audience."
41,negative,The director’s cleverly symbolic visuals are undercut by a jumbled script that pales to Hitchcock’s “Vertigo.”
42,positive,"Visually masterful, Decision to Leave is an enigmatic and seductive thriller about that inexplicable feeling called love. [Full Review in Spanish]"
43,negative,This is one of the year’s most dismaying and repellent movies.
44,positive,"Decision to Leave is all the more impressive because it’s a film of restraint and nuance. It combines the suspense of classic Hitchcock with the longing of a Wong Kar-Wai love story, making it a cinematic dream come true."
45,positive,Park Chan-wook puts a ravishing spin on a timeless story of romantic obsession and a detective who falls for his suspect.
46,positive,"This is one of best film of 2022 from one of the Best Storytellers in cinema Park Chan-wook. This detective thriller murder mystery has excellent pacing and editing, great wide open-lens cinematography, along with a powerful cast this is A MUST WATCH!"
47,positive,"While the case is a slow burn ... [DECISION TO LEAVE] delivers a clever payoff—and a disturbing denouement. Gradually shattering, it engulfs little by little, growing sadder and more unsettling with each wave."
48,positive,"In many ways, Decision to Leave is Chan-wook's most sober, subtle, contained, and minimalist film of his career. [Full review in Spanish]"
49,positive,"It’s not as immediately gripping as his previous work, but it lingers like perfume."
50,negative,...a frustrating and completely lackluster mystery that feels so much longer than its endless 139 minutes.
