id,tomato_score,review_text
1,positive,"In ""Dr. Strangelove,"" it seems all too plausible that it’s not politics but arrogance, machismo and an extreme act of sexual overcompensation that brings about the end of the world as we know it."
2,positive,"He would rather risk global nuclear holocaust than live in a world which compromises his manhood…. even if it is only compromised in his own mind.

This brings me to why ""Dr. Strangelove"" is my favorite Kubrick film."
3,positive,"Even the ending of the Cold War couldn't dilute this uncompromising satire's immediacy, not so long as men continue to think with their missiles instead of their minds."
4,positive,"...this was a departure for the filmmaker, a political satire tackling a difficult and fraught subject matter and turning it into one of the greatest films in the genre."
5,positive,Stanley Kubrick’s B52 bomber jet-black satire of foolish politicians and the military might(y dumb) that backs them into the apocalypse ... [is] one of the greatest films of all end times.
6,positive,"‘…Dr Strangelove is a film for the ages, and a jet-black comedy that shows off Peter Sellers to his best advantage…’"
7,positive,"The result is one of the funniest films ever made, Kubrick’s most unequivocal commentary, and perhaps cinema’s most disturbing take on the illusion of our control."
8,positive,"For me at any rate farce makes the theme of Dr. Strangelove not only more bearable, but also more believable. After all it is difficult to accept Doomsday unless as a monstrous joke."
9,positive,"Dr. Strangelove is irreverent to a point of savagery; it is funny and it is engrossing. And it’s heady stuff for movie-goers, for Kubrick, boy genius that he is, assumes that we’re grown-up enough to share his bitter laughter."
10,positive,Successful and timeless satire is quite a rare and tricky beast. “Dr. Strangelove” is and will forever remain one of the finest movies (of any genre) ever produced.
11,positive,"Probably Kubrick's biggest gamble, resulted in a classic that has aged finely. [Full review in Spanish]"
12,positive,"Few satires are stranger or sharper, and there are few funnier films that come from a weirder and braver starting point than Dr Strangelove."
13,positive,I think this is a film I will need to see again especially for the Sellars performances. But I really hope the opening scroll is correct and nothing like this can ever actually happen.
14,positive,"While still politically relevant, the Cold War audiences of the '60s were better primed to welcome the irony."
15,positive,Dr. Strangelove is one of [Stanley Kubrick's] very best movies.
16,positive,"Stanley Kubrick's classic black comedy, Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, remains a genius political satire."
17,positive,"It was a most uncomfortable experience. It was about as funny as a creeping case of cancer... Despite this carping I must admit that Dr. Strangelove was a memorable film, one worth seeing and one which took courage to make and even to exhibit."
18,positive,"It struck me at the time and it strikes me now that Dr. Strangelove is a brilliant and edifying, even a moral, movie."
19,positive,"...his film is a protest against the dehumanization which makes it possible for some strategists to mention ""acceptable"" casualties of tens of millions in the first few hours of a nuclear ""victory."""
20,positive,"Though the principals in the race to Armageddon may have changed since Kubrick's time, his film is still as effective a piece of satire as ever."
21,positive,"Age has not withered that final queasy nightmare of the mushroom clouds, set to Vera Lynn's hopeful We'll Meet Again - underscoring how the certainties of the second world war ceased to hold their meaning in the nuclear age."
22,positive,"Brilliant, bold, very funny, and terrifyingly plausible beneath its surface absurdities. (4k restoration and new short film)"
23,positive,"The satire and its execution, from George C. Scott to Peter Sellers in his three roles, is first and foremost what makes things work."
24,positive,"Nothing would seen to be farther apart than nuclear war and comedy, yet Kubrick's caper eloquently tackles a Fail-Safe subject with a light touch."
25,positive,Kubrick has shown before that he is a director of rare gifts. Dr. Strangelove brings them into full realization.
26,positive,Mr. Kubrick is a bold man: he has taken a whole complex of America's basic assumptions by the shoulders and given them a rough shaking.
27,positive,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb is the funniest and most serious American movie in a long time.
28,positive,"Take away the arch tone and deadpan ridiculousness, and the scenario is all too real."
29,positive,"Fifty-two years on, the movie is still more hip than most of what American filmmakers - Hollywood or indie - can muster."
30,positive,"The pre-eminent satire of cold-war paranoia, Dr. Strangelove is a hilarious and harrowing fable of systemised madness."
31,positive,"Dr. Strangelove does what so few comedies do today: it challenges us, provokes us, unsettles us while also making us laugh."
32,positive,"'Dr. Strangelove' may have worked as a serious thriller, but Kubrick knew better."
33,positive,"A slick satire of the cold war, and one that succeeds in brilliantly lampooning the hands that guide the world."
34,negative,...a decidedly underwhelming entry within Kubrick's increasingly spotty body of work...
35,positive,"Of the many films considered great satire, only Dr. Strangelove holds up as a masterpiece with none of its bite removed."
36,positive,"By a whopping margin, this is Kubrick's most radical film and greatest dramatic gamble."
37,positive,"The blackest black comedy ever made by a major Hollywood studio, and one of the funniest handful of films made in English."
38,positive,"As agreeable as a parable of Cold War paranoia possibly can be, Dr. Strangelove still is the definitive nuclear-doomsday movie, largely on account of being a comedy."
39,positive,"Because of its uncanny insight and frighteningly prescient satirical edge, Dr. Strangelove is a document of its time and also timeless. It held onto its relevancy by being bitter, cynical, and thinking absolutely the worst of people."
40,positive,"One of the best, and funniest, screenplays ever written..."
41,positive,"[VIDEO ESSAY] ""Dr. Strangelove"" pokes fun at the idea of ""mutually assured annihilation"" and the dubious concept of ""nuclear deterrents."""
42,positive,"Dr Strangelove is one of Stanley Kubrick's many masterpieces, one of the greatest films about the Cold War and one of the greatest comedies ever made."
43,positive,Black comedy Kubrick classic for smart teens+.
44,negative,"To me, Dr. Strangelove is an evil thing about an evil thing; you will have to make up your own mind about it."
45,positive,It's easily one of the director's best films of his somewhat controversial career.
46,positive,... like a morbidly sick Looney Tunes short with its cartoon heroes struggling impotently to keep hold of a hot potato.
47,positive,Dr. Strangelove's status as the movie that confirmed both Stanley Kubrick's reputation and the arrival of beat-sick irreverence can no longer be retracted.
48,positive,Kubrick nos presenteia com uma pérola de humor negro que critica acidamente as guerras e a mediocridade dos homens por trás destas.
49,positive,[A] supremely ironic comedy on the possibility of nuclear annihilation.
50,positive,"Like most of his work, Stanley Kubrick's deadly black satirical comedy-thriller on cold war madness and its possible effects (1964) has aged well."
