id,tomato_score,review_text
1,positive,"This effort is a maelstrom that is visually impressive and the creative gaudiness is off the charts in true ""Mad Max"" fashion."
2,positive,it’s no surprise that Mad Max: Fury Road has achieved the status it has in the pantheon of action cinema.
3,positive,"When the relationship between Max and Furiosa changed for me, it became one of my favorite films of the year. I was moved by it."
4,positive,"It’s not her movie. It’s not even Max’s movie. It’s both their movie, and they needed each other to thrive and be redeemed. It’s in these moments of subtlety in Miller’s direction and Tom Hardy’s performance that help emulate that..."
5,positive,"Mad Max: Fury Road is not only a terrific action film, but also one of the most awe-inspiring films ever made. With a magnificent story, cast, and visuals, that is not hard for anyone to believe once they set their sights on it"
6,positive,"An all-action over-the-top blast from start to finish, be it the acting or action, Mad Max: Fury Road offers the briefest of quiet moments in between. Yet, it knows how to be both tender and epic. The finale is thrilling…"
7,positive,"Mad Max: Fury Road changed the discourse when directors returned to their landmark franchises. In fact, it etched many involved into the history of cinema."
8,positive,Mad Max: Fury Road marks the franchise’s return to form thirty years after the Mad Max Beyond Thunderdome misfire.
9,positive,"... easily the most visceral and the most intelligent action film of year. Decades in the making, there's nothing else like this out there."
10,positive,"Surpassing expectations and delivering a heaping dose of electrifying visuals, Mad Max: Fury Road is what all blockbuster action movies should strive to be."
11,positive,The entire movie takes place over one absolutely bonkers chase sequence. Its cinematic stats are jaw-dropping...
12,positive,"What follows is not quite as routinely life-threatening, but it’s still incredibly physical filmmaking. $150 million, it seems, will buy you the budget to stand in the desert and sling a camera around..."
13,positive,This is pure action cinema – a beautiful mixture of old-school style and modern movie technology.
14,positive,"The viewer becomes swept up in the forward-moving narrative impetus, thrilled to audible gasps by Miller’s wonderfully excessive parade of stunts and effects, each more impressive and more fantastically outlandish than the last."
15,positive,"It is the rare, beautiful film that can take even the most staunch of cinephiles and reduce them to a giddy child, flush with excitement and rooting for the heroes to win."
16,positive,"The definition of a wholly unapologetically action-packed film, Mad Max: Fury Road breathes new life into an old series..."
17,positive,"It's hard to see another movie equalling this one's grand ambition, deep ideas and awe-inspiring action."
18,negative,"In a film with such a strong female lead, how could George Miller write such thoroughly forgettable supporting characters?... [Also] how in the hell is Zoë Kravitz the sole black person in this future earth?!"
19,positive,"Charlize Theron delivers a captivating, challenging performance as Furiosa, arguably her best since Monster."
20,positive,Other favorite moments include finding which men could not keep a beat in any scene with drums.
21,positive,Holy cow I loved this movie.
22,positive,I had my palm raised to the universe the second [Charlize Theron's Furiosa] took control of that big rig and led the charge across the desert.
23,positive,"The film offers extremely satisfying set pieces and action, plus ultimately some reveals that change how we previously understood our main character."
24,positive,"You'll have to watch it to see how it took us to new heights of energetic, ambitious, emotionally resonant, intelligent, exhilarating, and political filmmaking."
25,positive,"On top of all the crazy good stuff, there are a bandit of kick ass grannies living in the desert! (I mean, Miller must be channeling some Ursula K. Le Guin fan fiction here, jesus christ) And it works! Miraculously!"
26,positive,Mad Max: Fury Road is a movie with the kind of reach most people - and even most movies - can only aspire to.
27,positive,Less a remake and more a reinvention of Miller's own postapocalyptic action movie genre.
28,positive,Fury Road is a masterpiece of mayhem which cemented Charlize Theron as one of the greatest modern action stars and there's no experience quite like it.
29,positive,"This is exactly the type of grand cinematic spectacle brimming with passionate, zealous ideas that's been sorely lacking from the mechanical operations of formulaic tent poles."
30,positive,Films like Mad Max: Fury Road do not come along often. Director George Miller delivers an epic and visual cinema art film that celebrates survival and hope in a bleak and deranged universe.
31,positive,"Wall-to-wall visceral action, insane practical stunts, highly stylized production, with a thoughtful take on the apocalypse."
32,positive,"Fury Road is the literal definition of controlled chaos. It's an amazing, full-tilt assault on the senses ... the most brilliant piece of mayhem to ever hit the screen."
33,positive,"In addition to being furiously entertaining and having new protagonists, watching this blockbuster is like going to the desert to see a special show by Monster truck, Slipknot and Cirque du Soleil. [Full review in Spanish]"
34,positive,This movie was just bonkers.
35,positive,"It was great. I mean, this is how to do an action movie."
36,positive,"Mad Max: Fury Road will be the film to beat for a long time coming, and the new high-water mark against which to judge action and blockbuster filmmaking. This is, quite simply, how it's done."
37,positive,"It's a rare film that engages the mind while rocking the body. Miller's vision of a world consumed by its own greed, where water, gasoline, and bullets are the most precious commodities, seems even more relevant today than it did 30 years ago."
38,positive,As close to riding a rollercoaster you can experience while sitting in a movie theater.
39,positive,The entirety is a delicious assault on both your visual cortex and auditory system - a giant orchestral blend of machine engines roaring and wheels peeling combined with a booming overture of drums and guitar.
40,positive,"Furiosa and the women are the heart and soul of Fury Road, championing female life and autonomy into something that could have easily been a popcorn flick for bros."
41,positive,"Arty, gorgeous, exciting, compelling, and poignant all at once."
42,positive,"It's something awesome. It's all hot orange and brown, the glamour of the punishing desert wind, it is completely OTT and it can't go five minutes without an explosion and I loved it."
43,positive,"Miller's magnum opus is proof a film can be fueled by meaningful social subtext and still kick ass. It's evidence that all-out action need not be reduced to ""dumb fun."" It's brilliant. It's glorious. It is Maxcellent."
44,positive,"Fury Road seems aimed at dudes who fetishize chrome and steel, but Miller plants seeds of bolder, more incendiary ideas within the bro-fantasy."
45,positive,"The sheer sustained energy of this thing is breathtaking, and Miller's singular vision is a thing of brutal beauty."
46,negative,"Action films with a simple, one-track mindset can be far from a bad thing, but Fury Road never successfully establishes any stakes."
47,positive,"Theron's thunderous performance leads the charge, in this film that steals your breath and boils your blood. What the cast and crew have achieved is rare and precious. Cherish it."
48,positive,The stunt work is flawless.
49,positive,"My review could consist of me pointing at the screen for 2 hours and going, ""AAAAAAAAARRRRRGGGHHHHHTHISISAMAAAAAAZZZIIINNNG!"""
50,positive,"The budget and the actors may have changed, but this is clearly the evolution of the filmmaker's crazed vision, arguably reaching the petrol-soaked Valhalla that he's been striving for since the modest thrills of 1979's Mad Max."
